Seed,N_modules,s_ratio,lambda,N1,M,N2,n_surv1,n_surv2,n_surv3,surv_rate1,surv_rate2,surv_rate3
50,5,10,0.2,100,50,100,65,99,163,0.65,0.99,0.815
51,5,10,0.2,100,50,100,91,75,164,0.91,0.75,0.82
52,5,10,0.2,100,50,100,97,100,194,0.97,1.0,0.97
53,5,10,0.2,100,50,100,78,78,153,0.78,0.78,0.765
54,5,10,0.2,100,50,100,88,98,185,0.88,0.98,0.925
55,5,10,0.2,100,50,100,100,76,173,1.0,0.76,0.865
56,5,10,0.2,100,50,100,100,97,196,1.0,0.97,0.98
57,5,10,0.2,100,50,100,99,98,197,0.99,0.98,0.985
58,5,10,0.2,100,50,100,99,89,186,0.99,0.89,0.93
59,5,10,0.2,100,50,100,57,78,134,0.57,0.78,0.67
60,5,10,0.2,100,50,100,100,100,199,1.0,1.0,0.995
61,5,10,0.2,100,50,100,57,80,137,0.57,0.8,0.685
62,5,10,0.2,100,50,100,93,75,167,0.93,0.75,0.835
63,5,10,0.2,100,50,100,78,92,163,0.78,0.92,0.815
64,5,10,0.2,100,50,100,76,87,163,0.76,0.87,0.815
65,5,10,0.2,100,50,100,77,90,165,0.77,0.9,0.825
66,5,10,0.2,100,50,100,89,78,165,0.89,0.78,0.825
67,5,10,0.2,100,50,100,67,97,162,0.67,0.97,0.81
68,5,10,0.2,100,50,100,99,84,183,0.99,0.84,0.915
69,5,10,0.2,100,50,100,80,100,180,0.8,1.0,0.9
70,5,10,0.2,100,50,100,77,96,172,0.77,0.96,0.86
71,5,10,0.2,100,50,100,92,100,191,0.92,1.0,0.955
72,5,10,0.2,100,50,100,94,81,175,0.94,0.81,0.875
73,5,10,0.2,100,50,100,95,98,193,0.95,0.98,0.965
74,5,10,0.2,100,50,100,72,100,172,0.72,1.0,0.86
75,5,10,0.2,100,50,100,65,100,162,0.65,1.0,0.81
76,5,10,0.2,100,50,100,100,88,185,1.0,0.88,0.925
77,5,10,0.2,100,50,100,96,96,190,0.96,0.96,0.95
78,5,10,0.2,100,50,100,90,78,168,0.9,0.78,0.84
79,5,10,0.2,100,50,100,97,58,154,0.97,0.58,0.77
80,5,10,0.2,100,50,100,76,56,130,0.76,0.56,0.65
81,5,10,0.2,100,50,100,84,98,182,0.84,0.98,0.91
82,5,10,0.2,100,50,100,87,74,157,0.87,0.74,0.785
83,5,10,0.2,100,50,100,76,99,174,0.76,0.99,0.87
84,5,10,0.2,100,50,100,100,90,189,1.0,0.9,0.945
85,5,10,0.2,100,50,100,93,65,156,0.93,0.65,0.78
86,5,10,0.2,100,50,100,100,88,187,1.0,0.88,0.935
87,5,10,0.2,100,50,100,95,93,186,0.95,0.93,0.93
88,5,10,0.2,100,50,100,89,100,189,0.89,1.0,0.945
89,5,10,0.2,100,50,100,83,83,163,0.83,0.83,0.815
90,5,10,0.2,100,50,100,99,65,164,0.99,0.65,0.82
91,5,10,0.2,100,50,100,96,100,195,0.96,1.0,0.975
92,5,10,0.2,100,50,100,99,69,167,0.99,0.69,0.835
93,5,10,0.2,100,50,100,81,71,150,0.81,0.71,0.75
94,5,10,0.2,100,50,100,92,75,166,0.92,0.75,0.83
95,5,10,0.2,100,50,100,82,100,181,0.82,1.0,0.905
96,5,10,0.2,100,50,100,98,86,182,0.98,0.86,0.91
97,5,10,0.2,100,50,100,96,80,176,0.96,0.8,0.88
98,5,10,0.2,100,50,100,97,99,195,0.97,0.99,0.975
99,5,10,0.2,100,50,100,100,81,181,1.0,0.81,0.905
