Community,Species,Status,CUE,C_final
1,Sp1,Extinction,0.8708605501301292,-1.2122663935528478e-22
1,Sp2,Survival,0.876656548195693,0.0027295922591700234
1,Sp3,Survival,0.8781667045712179,204.18984309688753
1,Sp4,Extinction,0.8760157017806017,1.3244427120382413e-12
1,Sp5,Survival,0.8846154955556952,5074.1218556105805
1,Sp6,Survival,0.8806195810669568,57.095033118325716
1,Sp7,Extinction,0.8751349179775102,-1.5199068052051224e-15
1,Sp8,Extinction,0.8705849774638573,7.025353159893528e-23
1,Sp9,Extinction,0.8595514147612228,4.680249228253143e-27
1,Sp10,Extinction,0.8610201913621267,7.050979459776559e-26
1,Sp11,Extinction,0.8757414648690901,-2.9899067557690106e-09
1,Sp12,Survival,0.8793440518639194,3391.18186015404
1,Sp13,Extinction,0.8729258096471251,1.3237275532761965e-15
1,Sp14,Extinction,0.8742050918262174,-2.2600764439446017e-19
1,Sp15,Extinction,0.8703419823078523,-4.1393388598961664e-23
1,Sp16,Extinction,0.871007572049484,7.579547639866773e-23
1,Sp17,Extinction,0.8737415799996338,1.7767372268600092e-10
1,Sp18,Extinction,0.8693311546310033,-3.166748278251898e-26
1,Sp19,Extinction,0.8742577151108152,-1.5986670524242843e-18
1,Sp20,Extinction,0.8655590075210114,1.1248843570384098e-25
1,Sp21,Extinction,0.8770579518341385,-4.7209069756810015e-11
1,Sp22,Extinction,0.8715535504327028,-2.286717848157418e-22
1,Sp23,Extinction,0.8546256553258242,9.324465334013611e-27
1,Sp24,Extinction,0.869522435306963,1.743757416991204e-23
1,Sp25,Extinction,0.8690266599592347,-2.939038345748975e-23
1,Sp26,Extinction,0.8526036026942702,1.0419810787167143e-26
1,Sp27,Extinction,0.8702988508163662,-9.182934160633251e-24
1,Sp28,Extinction,0.8537322571086099,1.8517033203842748e-26
1,Sp29,Extinction,0.8749968239238946,3.2835477805778606e-13
1,Sp30,Extinction,0.8733714989996557,-1.4727794697314117e-17
1,Sp31,Extinction,0.8664442476797907,-3.1956877647253276e-23
1,Sp32,Extinction,0.8600722938288563,1.3260038748500088e-26
1,Sp33,Extinction,0.8646370997094837,-1.9208409358519615e-23
1,Sp34,Extinction,0.8651120109829554,1.907893446227315e-26
1,Sp35,Survival,0.8762698140973425,823.0239679285139
1,Sp36,Extinction,0.8702812600718773,2.6513874497514788e-24
1,Sp37,Extinction,0.8738283021420311,-1.2940146387449955e-18
1,Sp38,Extinction,0.8737397145397751,3.1328159293469473e-15
1,Sp39,Extinction,0.872344587161931,-2.9208164591457802e-15
1,Sp40,Extinction,0.8686184335430847,-6.3751071948378265e-25
1,Sp41,Extinction,0.861677852539093,1.28924600229155e-25
1,Sp42,Extinction,0.8631514940245734,2.509357902288524e-26
1,Sp43,Extinction,0.8763250304835059,-4.066031877951149e-17
1,Sp44,Extinction,0.8739449063717073,-3.339347673266193e-17
1,Sp45,Extinction,0.8599934321545653,1.4329705991766943e-27
1,Sp46,Extinction,0.8632979284771544,1.792790290304993e-26
1,Sp47,Extinction,0.8757348678842503,7.522271176682426e-07
1,Sp48,Extinction,0.8743565940870552,1.1281235526888195e-12
1,Sp49,Extinction,0.8663346461822228,4.650233641140402e-25
1,Sp50,Extinction,0.8703600853040171,-1.0776809916738107e-22
1,Sp51,Extinction,0.8721446332577705,-6.983474740706022e-20
1,Sp52,Extinction,0.8531442525820659,1.4489436075993455e-26
1,Sp53,Extinction,0.8717949626819463,-1.0208525476992129e-22
1,Sp54,Extinction,0.8614029039428752,6.212171890270912e-26
1,Sp55,Extinction,0.8676236078083331,1.5040679948588048e-24
1,Sp56,Extinction,0.8736236709827041,-3.3628820445413057e-22
1,Sp57,Extinction,0.8681427258558675,-4.768330507482963e-23
1,Sp58,Extinction,0.8651118489218583,3.2080521788321566e-25
1,Sp59,Extinction,0.868289730923363,1.3539410533394688e-22
1,Sp60,Survival,0.883598370635449,7283.7490278734485
1,Sp61,Extinction,0.8663352524237252,-2.2705059805122776e-23
1,Sp62,Extinction,0.8726103827352351,8.110549430359566e-13
1,Sp63,Extinction,0.8705566477153764,-7.161063460380948e-26
1,Sp64,Extinction,0.866598954850398,7.179738871464096e-25
1,Sp65,Extinction,0.8697128732442155,1.80560229013967e-24
1,Sp66,Extinction,0.8738057358367395,1.0198526540178414e-24
1,Sp67,Extinction,0.8676678035398566,3.8211303381975106e-25
1,Sp68,Extinction,0.8639820546016269,7.568201595028883e-26
1,Sp69,Extinction,0.8723422914119011,-3.007776425680674e-22
1,Sp70,Extinction,0.8693335280613739,-6.078178048233585e-23
1,Sp71,Extinction,0.8728842670194025,-4.956974350384523e-17
1,Sp72,Extinction,0.8711243960036488,-1.2368322518229213e-16
1,Sp73,Extinction,0.8677719409779634,1.3183274086813255e-23
1,Sp74,Extinction,0.8686177642735328,6.143987411502469e-25
1,Sp75,Survival,0.879982275070387,2122.0367907910336
1,Sp76,Extinction,0.872780689203377,8.230963989697754e-22
1,Sp77,Extinction,0.8679750290512241,-5.0916181042346186e-23
1,Sp78,Extinction,0.875344926666821,-8.127306252477531e-12
1,Sp79,Extinction,0.8758900279811649,-4.864109861846152e-10
1,Sp80,Extinction,0.869792495356575,-3.719962587075265e-23
1,Sp81,Extinction,0.8679517825679156,3.039914775874156e-24
1,Sp82,Extinction,0.8639486656884258,1.5336956952442577e-26
1,Sp83,Extinction,0.8691180263111034,1.8414333728093274e-23
1,Sp84,Extinction,0.8649226950384967,2.3655544499743705e-25
1,Sp85,Extinction,0.8693363737237862,-5.753974939243635e-23
1,Sp86,Extinction,0.8659857952808993,-1.895703541794798e-24
1,Sp87,Extinction,0.8704862060809464,-8.149155388853037e-24
1,Sp88,Extinction,0.8608297383105166,9.732563610620129e-26
1,Sp89,Extinction,0.8720404105197763,5.0650343785120826e-24
1,Sp90,Extinction,0.8594058631981946,4.560637266380386e-26
1,Sp91,Extinction,0.8663848140328746,-8.760415736240344e-25
1,Sp92,Survival,0.8776224636498333,809.1885541946448
1,Sp93,Extinction,0.8651223992297917,6.20598386722351e-25
1,Sp94,Extinction,0.870864228177772,-7.604156704072839e-18
1,Sp95,Extinction,0.86868002055042,-1.5095953438298256e-22
1,Sp96,Extinction,0.8681810667647546,-1.0637284376511816e-22
1,Sp97,Survival,0.8799644724714801,1270.8459638211343
1,Sp98,Extinction,0.8707958388416619,3.638869242354916e-22
1,Sp99,Extinction,0.879350786064668,-5.931917899589644e-10
1,Sp100,Extinction,0.8699582788870972,-3.9232204918021434e-23
2,Sp1,Extinction,0.8568987639819855,-3.144823565762659e-21
2,Sp2,Extinction,0.8625023956613792,-6.003702371538763e-21
2,Sp3,Survival,0.8819268393624325,6710.163968450717
2,Sp4,Extinction,0.8655574471807738,-2.2995039924907856e-20
2,Sp5,Extinction,0.8655519243602692,4.523459459909164e-21
2,Sp6,Extinction,0.8664475162572816,1.5173453018757237e-20
2,Sp7,Extinction,0.8721448958230174,2.6231622453638123e-22
2,Sp8,Extinction,0.8676034752944074,-4.055263938582406e-20
2,Sp9,Extinction,0.8734826431549186,1.2079691698698893e-19
2,Sp10,Extinction,0.866061058356815,-9.72184993047695e-21
2,Sp11,Extinction,0.8693061404668125,-2.931629374031542e-20
2,Sp12,Extinction,0.8757845468818115,2.2302832520491652e-08
2,Sp13,Extinction,0.8700188234002943,-9.15702791494679e-21
2,Sp14,Extinction,0.8718584502175071,-1.8545588345739945e-20
2,Sp15,Extinction,0.8702613967715418,2.0950375587756342e-20
2,Sp16,Survival,0.8767298885532574,1364.713651287738
2,Sp17,Extinction,0.8614654575069037,-6.5554276893988505e-21
2,Sp18,Extinction,0.8736360269819745,-2.0477452736102524e-21
2,Sp19,Extinction,0.869672068498694,-1.2429797976603903e-20
2,Sp20,Survival,0.8781483313184607,347.94630882288135
2,Sp21,Extinction,0.8707711314382568,-4.9964493105232016e-21
2,Sp22,Extinction,0.8584458014443549,-6.270891001601481e-21
2,Sp23,Extinction,0.8736959173576734,-2.3996809992097564e-15
2,Sp24,Extinction,0.8707259775466886,-4.549283384077925e-20
2,Sp25,Extinction,0.8715212300881483,-7.972979171482e-20
2,Sp26,Extinction,0.8650488862549738,5.7666500343449905e-21
2,Sp27,Extinction,0.8655239188396963,4.88316149922689e-21
2,Sp28,Extinction,0.8725468610352515,-1.786129861789066e-20
2,Sp29,Extinction,0.8724151637251577,-5.121861922439689e-21
2,Sp30,Extinction,0.8667744285929018,-1.799802473133474e-20
2,Sp31,Extinction,0.8752332818038294,-4.822525009490198e-21
2,Sp32,Extinction,0.8739859707773239,-5.061729510017416e-22
2,Sp33,Extinction,0.8642206878155999,-1.4707287945577415e-21
2,Sp34,Extinction,0.8713110208928173,-1.2507871271760488e-20
2,Sp35,Extinction,0.8780945479309701,1.8202970623065635e-08
2,Sp36,Extinction,0.8739500807417939,1.1025569305088494e-10
2,Sp37,Extinction,0.8617706417885299,1.5866636998629347e-21
2,Sp38,Extinction,0.8724792637166006,6.075041950037024e-24
2,Sp39,Extinction,0.8593526179407888,-6.263099241685985e-21
2,Sp40,Extinction,0.8685161117708753,-4.224951834857336e-20
2,Sp41,Extinction,0.8694607538160919,-1.8943465045767326e-20
2,Sp42,Extinction,0.8708514616013684,-2.9713615230985706e-21
2,Sp43,Extinction,0.871395237066545,-1.1271799544889254e-21
2,Sp44,Extinction,0.8666127486478461,-5.169407874317701e-21
2,Sp45,Survival,0.8747045872921705,954.2138177713908
2,Sp46,Extinction,0.8749412851490709,9.52397892047372e-06
2,Sp47,Extinction,0.8694994050183025,-1.6576053261239817e-21
2,Sp48,Extinction,0.8734994430871779,-4.0454339298308434e-21
2,Sp49,Extinction,0.8620836627284817,-1.682503519389309e-20
2,Sp50,Extinction,0.8690570541477036,-7.892784600407094e-22
2,Sp51,Extinction,0.8689165517348014,1.0247353153277553e-20
2,Sp52,Extinction,0.8732317208033158,5.137005056465781e-20
2,Sp53,Extinction,0.8617395082459874,-7.4532786103293915e-22
2,Sp54,Extinction,0.8721296325650849,8.494059789673806e-20
2,Sp55,Extinction,0.8630085500866993,-7.7782019507875365e-22
2,Sp56,Survival,0.8794685335328181,1584.0809646106673
2,Sp57,Extinction,0.8726395853978777,-4.7844895287195147e-14
2,Sp58,Extinction,0.8658692710771193,1.4658226593630632e-20
2,Sp59,Extinction,0.8676299476670947,-4.951651658670268e-20
2,Sp60,Extinction,0.8675721117576252,1.312130298484034e-21
2,Sp61,Extinction,0.8707347211194474,-9.44815318013322e-21
2,Sp62,Extinction,0.8676422277083571,-2.3269897619046316e-21
2,Sp63,Survival,0.8792354322294934,3969.4824186805336
2,Sp64,Extinction,0.8724039056810681,3.6496116013226985e-21
2,Sp65,Extinction,0.8551262405745035,1.3819193436637517e-23
2,Sp66,Extinction,0.8755684353111296,4.632710181576086e-11
2,Sp67,Extinction,0.8730442438043683,4.709725391865646e-23
2,Sp68,Extinction,0.8660263588493473,6.804083276437637e-21
2,Sp69,Extinction,0.8730222266479369,-6.161418611416324e-20
2,Sp70,Extinction,0.873489776640847,-8.408681379566072e-21
2,Sp71,Extinction,0.8695398998962682,-3.8347095139051895e-21
2,Sp72,Extinction,0.869905195322612,-4.827950219960282e-22
2,Sp73,Extinction,0.8584092469498058,-1.8351820530605304e-21
2,Sp74,Extinction,0.876302719190156,5.1413918019992936e-08
