N_modules,n_surv1,n_surv2,n_surv3,surv_rate1,surv_rate2,surv_rate3
1,100,100,200,1.0,1.0,1.0
2,100,87,187,1.0,0.87,0.935
3,100,100,200,1.0,1.0,1.0
4,83,89,172,0.83,0.89,0.86
5,88,98,186,0.88,0.98,0.93
6,73,94,167,0.73,0.94,0.835
7,83,95,178,0.83,0.95,0.89
8,81,100,181,0.81,1.0,0.905
9,79,100,179,0.79,1.0,0.895
10,70,71,141,0.7,0.71,0.705
11,98,100,198,0.98,1.0,0.99
12,94,100,194,0.94,1.0,0.97
13,100,74,174,1.0,0.74,0.87
14,70,93,163,0.7,0.93,0.815
15,100,99,199,1.0,0.99,0.995
16,96,100,196,0.96,1.0,0.98
17,100,100,200,1.0,1.0,1.0
18,95,72,167,0.95,0.72,0.835
19,100,98,198,1.0,0.98,0.99
20,100,87,187,1.0,0.87,0.935
21,76,100,176,0.76,1.0,0.88
22,100,95,195,1.0,0.95,0.975
23,82,97,179,0.82,0.97,0.895
24,80,100,180,0.8,1.0,0.9
25,100,100,200,1.0,1.0,1.0
26,100,91,191,1.0,0.91,0.955
27,100,99,199,1.0,0.99,0.995
28,100,99,199,1.0,0.99,0.995
29,97,100,197,0.97,1.0,0.985
30,80,100,180,0.8,1.0,0.9
31,100,100,200,1.0,1.0,1.0
32,95,95,190,0.95,0.95,0.95
33,100,100,200,1.0,1.0,1.0
34,100,100,200,1.0,1.0,1.0
35,100,67,167,1.0,0.67,0.835
36,99,100,199,0.99,1.0,0.995
37,100,98,198,1.0,0.98,0.99
38,100,99,199,1.0,0.99,0.995
39,100,100,200,1.0,1.0,1.0
40,94,100,194,0.94,1.0,0.97
41,100,100,200,1.0,1.0,1.0
42,100,100,200,1.0,1.0,1.0
43,100,100,200,1.0,1.0,1.0
44,100,100,200,1.0,1.0,1.0
45,100,100,200,1.0,1.0,1.0
46,100,100,200,1.0,1.0,1.0
47,100,100,200,1.0,1.0,1.0
48,100,100,200,1.0,1.0,1.0
49,100,100,200,1.0,1.0,1.0
50,100,88,188,1.0,0.88,0.94
