CUE,Dominance,Group
0.3188396357016273,0,Community 1
0.24979716417120496,0,Community 1
0.3876856457013323,1,Community 1
0.23919025681001682,0,Community 1
0.28057384893129605,0,Community 1
0.2902956616292571,0,Community 1
0.48656590294106017,1,Community 1
0.3127607271845439,0,Community 1
0.46056496248679496,1,Community 1
0.3533844328149816,0,Community 1
0.35392246754926643,1,Community 1
0.41692448935020354,1,Community 1
0.31104699737117747,0,Community 1
0.31309465529441816,0,Community 1
0.3375887303785541,0,Community 1
0.3083352383719364,0,Community 1
0.3682977365196972,1,Community 1
0.34134542579317906,0,Community 1
0.2912341124418584,0,Community 1
0.2701261858526099,0,Community 1
0.361013434969965,0,Community 1
0.268645286919506,0,Community 1
0.4008042528249302,1,Community 1
0.3914998205174834,1,Community 1
0.3123186409881734,0,Community 1
0.2756334115402453,0,Community 1
0.29566161656599543,0,Community 1
0.3067865095283891,0,Community 1
0.344771218398671,0,Community 1
0.3138059068922106,0,Community 1
0.37127067010277454,1,Community 1
0.34962179287730166,0,Community 1
0.28053436717327884,0,Community 1
0.3439554943002459,0,Community 1
0.3001097787129571,0,Community 1
0.2804095966271046,0,Community 1
0.24707452105060046,0,Community 1
0.31793694657581734,0,Community 1
0.4568268037750606,1,Community 1
0.4072018084961386,1,Community 1
0.338880876461391,0,Community 1
0.2891693856367268,0,Community 1
0.43066054772430634,1,Community 1
0.33896578593216453,0,Community 1
0.25626753061199387,0,Community 1
0.3388105656401899,1,Community 1
0.3111539502865276,1,Community 1
0.3209436735693891,1,Community 1
0.2845836336414081,0,Community 1
0.49823510257812414,1,Community 1
0.30535531041747604,1,Community 2
0.3518242244944522,1,Community 2
0.23648491604242983,0,Community 2
0.3076124750806703,1,Community 2
0.35692133642021984,1,Community 2
0.3983615539275105,1,Community 2
0.3366310343300461,0,Community 2
0.43558400038671063,1,Community 2
0.30450976514906525,0,Community 2
0.4201943338715368,1,Community 2
0.27061939733908574,0,Community 2
0.24187134674855534,0,Community 2
0.3430803073887386,1,Community 2
0.3612831515252783,1,Community 2
0.3948520060263038,1,Community 2
0.3321773101410748,1,Community 2
0.3218197055072638,0,Community 2
0.4381666588071067,1,Community 2
0.3779626295145031,1,Community 2
0.4161712116441112,1,Community 2
0.3808190265665924,1,Community 2
0.35904281723979464,1,Community 2
0.36185071901427607,0,Community 2
0.25539817223811084,0,Community 2
0.33872871470823857,1,Community 2
0.31621070257522854,1,Community 2
0.4660069621121233,1,Community 2
0.35193248130942345,1,Community 2
0.36305459579025745,1,Community 2
0.3239864502880966,1,Community 2
0.21305213239453402,0,Community 2
0.3635654616221002,1,Community 2
0.34813822442814896,1,Community 2
0.37048591193879227,1,Community 2
0.38096431192464697,1,Community 2
0.3250847990863855,1,Community 2
0.3428016357523214,1,Community 2
0.37863054189755624,1,Community 2
0.39663637361708093,0,Community 2
0.3925311468291536,0,Community 2
0.33235007479581785,1,Community 2
0.3339713601783327,1,Community 2
0.36616013622701765,0,Community 2
0.43012866088465046,1,Community 2
0.3036431638008569,1,Community 2
0.2863011828270061,0,Community 2
0.28716870726039023,0,Community 2
0.1654804180951806,0,Community 2
0.30674820434937605,1,Community 2
0.3904922866414271,0,Community 2
