Community,Species,r,Species CUE
Community 1,Species 1,-0.08414946055407785,-2.1746164739160956
Community 1,Species 2,0.04321002164252516,-0.5364956214234564
Community 1,Species 3,-0.07490440296599485,-1.8278953774047286
Community 1,Species 4,-0.024242559276480627,-1.024933663816842
Community 1,Species 5,0.04652649448336234,-0.475703841521499
Community 1,Species 6,0.045467646053986274,-0.4451196994349269
Community 1,Species 7,-0.02002034108339157,-1.1676616355576217
Community 1,Species 8,0.4182138613495212,0.48304700050349847
Community 1,Species 9,0.10371630890721728,-0.21318471185875942
Community 1,Species 10,0.33861946763982476,0.24868000424662307
Community 1,Species 11,0.8011492561676183,0.6072655080795089
Community 1,Species 12,-0.07008518698123896,-1.6443903627876852
Community 1,Species 13,0.1934802486912755,0.05155237772476918
Community 1,Species 14,0.7249764851120972,0.5663517970556888
Community 1,Species 15,-0.07327784354728693,-1.6636671617205463
Community 1,Species 16,0.3683677560956145,0.30899503017904334
Community 1,Species 17,-0.01836497163929557,-1.0613522056755256
Community 1,Species 18,0.5458876966479526,0.503093163990471
Community 1,Species 19,-0.12227515697373847,-3.4957242697074133
Community 1,Species 20,0.2707477251382305,0.3339310147500808
Community 1,Species 21,0.2605174605104236,0.3402973182536968
Community 1,Species 22,0.16697614252654644,-0.21529730137084946
Community 1,Species 23,-0.021337650753953344,-0.897823996849785
Community 1,Species 24,-0.057985164671006464,-1.4354051163697803
Community 1,Species 25,0.10104408082304778,-0.25122868784962
Community 1,Species 26,0.2126265233563568,-0.061174379882971745
Community 1,Species 27,0.5533082154151867,0.46232799050797396
Community 1,Species 28,0.48422789120763693,0.3372849947514773
Community 1,Species 29,0.40329461085957957,0.37226311369442333
Community 1,Species 30,0.15729760176400984,-0.19801629042183821
Community 1,Species 31,0.46137932727841774,0.3918074680507129
Community 1,Species 32,0.595557763978258,0.5009804210694059
Community 1,Species 33,-0.09805461148782185,-2.1407659102192427
Community 1,Species 34,0.44447451127951365,0.30253032191313645
Community 1,Species 35,-0.012932575916708502,-0.8826846403542712
Community 1,Species 36,0.4220759620714326,0.37964002508139955
Community 1,Species 37,-0.07239863429005618,-1.732263420848386
Community 1,Species 38,0.559359126207017,0.48308555877758547
Community 1,Species 39,0.02196374096515208,-0.6794677006737823
Community 1,Species 40,0.331826618129976,0.2988850185650186
Community 1,Species 41,0.4017461661948696,0.25416268745577536
Community 1,Species 42,-0.12059313399379168,-2.7698637591199877
Community 1,Species 43,0.501346517166553,0.43289236248330076
Community 1,Species 44,0.20081565750690164,0.10909238317067631
Community 1,Species 45,-0.06296297242681234,-1.4235309917772077
Community 1,Species 46,-0.0013092038368560238,-0.7759050954175355
Community 1,Species 47,-0.1631436069937265,-8.679098658353508
Community 1,Species 48,0.08248091248463327,-0.30464421575498385
Community 1,Species 49,6.114218171533736e-05,-0.6111133370251958
Community 1,Species 50,-0.07633782954986684,-2.1560722649317876
Community 1,Species 51,-0.05791506012888058,-1.4202147231518616
Community 1,Species 52,0.060905033609808645,-0.2219380944072349
Community 1,Species 53,-0.03372515609917326,-1.2290688932152851
Community 1,Species 54,0.009621596050044104,-0.586604998877058
Community 1,Species 55,0.7313556454275748,0.5844905098627617
Community 1,Species 56,0.4567229071034159,0.28692356069943653
Community 1,Species 57,-0.06742019327138565,-1.5062277157793154
Community 1,Species 58,-0.015149628450851008,-1.1615097890904766
Community 1,Species 59,-0.03141266341672058,-1.1558893815681366
Community 1,Species 60,0.594669890861351,0.5361030276351575
Community 1,Species 61,-0.023645204764973407,-1.0596396785814641
Community 1,Species 62,0.25489705820088693,0.037768125272147256
Community 1,Species 63,0.34719531950834975,0.19409273077325656
Community 1,Species 64,0.1984898684192862,0.03970121093412349
Community 1,Species 65,0.4757489615369847,0.4225499641967968
Community 1,Species 66,0.40005365251097974,0.4413476136693263
Community 1,Species 67,0.027706085112446918,-0.46704081530545993
Community 1,Species 68,-0.03301254824979878,-1.0634936080865742
Community 1,Species 69,0.1930140637794003,0.25590341461908156
Community 1,Species 70,0.14349180771246578,-0.057462629435224136
Community 1,Species 71,0.030624822559373502,-0.5460876962518242
Community 1,Species 72,0.5445970708012515,0.4813156057902158
Community 1,Species 73,0.21651432106908705,-0.024481173737639302
Community 1,Species 74,-0.07896732100356202,-1.9539296634286416
Community 1,Species 75,0.6262448946652345,0.506794081711542
Community 1,Species 76,0.39577410202281904,0.4249755773164962
Community 1,Species 77,0.3562638892273428,0.42837584504452153
Community 1,Species 78,0.0014579490463150074,-0.5816450778201799
Community 1,Species 79,0.6367790792563977,0.5049952771597442
Community 1,Species 80,-0.06677243084527588,-1.6953603555944012
Community 1,Species 81,0.3498873966884794,0.3759772452706886
Community 1,Species 82,0.5004678845931473,0.4796383527183456
Community 1,Species 83,0.5100225350142858,0.49803286015304865
Community 1,Species 84,-0.021342693194678283,-1.0996502655606277
Community 1,Species 85,-0.057229948507220435,-1.3948071046624992
Community 1,Species 86,0.04014914491408886,-0.5696083881285461
Community 1,Species 87,0.20072490454256658,0.10992208776784615
Community 1,Species 88,0.04028483258485957,-0.3053607224916361
Community 1,Species 89,0.38248768455820564,0.3135133243753305
Community 1,Species 90,0.28152661071446716,0.211505302006122
Community 1,Species 91,0.011932597417072602,-0.732126191039765
Community 1,Species 92,0.08525910064939671,-0.29708274843517624
Community 1,Species 93,-0.06234063163946471,-1.2616144986083653
Community 1,Species 94,0.19677472882069053,0.1758393327326815
Community 1,Species 95,0.49691896508683975,0.33611626413760204
Community 1,Species 96,-0.11573464129308564,-2.9939040222423543
Community 1,Species 97,0.31110008447148785,0.33642997188785007
Community 1,Species 98,-0.04040954027973245,-1.2853997375812587
Community 1,Species 99,0.5055171366163602,0.4540594523199851
Community 1,Species 100,0.6462983115906384,0.5402830775379035
Community 2,Species 1,0.2549427376488237,0.3163367687114236
Community 2,Species 2,-0.03565588986938613,-0.7957179826895768
Community 2,Species 3,-0.07966351570334279,-1.5512564203215256
Community 2,Species 4,0.33523762473025165,0.3397700203454412
Community 2,Species 5,-0.1076688814481994,-2.1860557478507423
Community 2,Species 6,0.47449515146194626,0.45826061748381003
Community 2,Species 7,0.5971409052972081,0.5237916223677062
Community 2,Species 8,0.30366938858322734,0.3019063559602183
Community 2,Species 9,0.17892673180955734,0.24605819962867903
Community 2,Species 10,0.005905907854003675,-0.5457023290483094
Community 2,Species 11,0.3000177076979317,0.42956070999193147
Community 2,Species 12,0.0005903493600922932,-0.548673006567866
Community 2,Species 13,-0.08150632732608273,-1.543375428544369
Community 2,Species 14,0.2547490612943849,0.3703064638080394
Community 2,Species 15,-0.10115405639162843,-1.8268266121598369
Community 2,Species 16,-0.12698863088148066,-2.9038897782511732
Community 2,Species 17,0.6099260582049888,0.545053360686154
Community 2,Species 18,0.17640741261385012,0.1368395543188568
Community 2,Species 19,0.0829291046126211,-0.22222182704316418
Community 2,Species 20,0.40423127401820563,0.4636169606119059
Community 2,Species 21,0.07902899063641036,-0.1699028818862061
Community 2,Species 22,-0.005606395377930645,-0.6828446433388596
Community 2,Species 23,0.18232399733260093,0.2685249416659048
Community 2,Species 24,0.49130070463476666,0.46053443433955676
Community 2,Species 25,0.4349068420321157,0.3852439875411807
Community 2,Species 26,0.3058366374061952,0.2775544866341306
Community 2,Species 27,-0.10120595285808509,-2.140342390308974
Community 2,Species 28,-0.06304277336850908,-1.4049039087610027
Community 2,Species 29,0.24781288943047344,0.29746781187940613
Community 2,Species 30,0.1966487631123034,0.3228919122903639
Community 2,Species 31,0.21689778686714783,0.14991306119450565
Community 2,Species 32,0.0016020212347291618,-0.5936836398980245
Community 2,Species 33,0.23993931158308437,0.20334078749428133
Community 2,Species 34,0.4499298541590724,0.37059571720925416
Community 2,Species 35,-0.012891945999414858,-0.7748487284691329
Community 2,Species 36,-0.055329081278766165,-1.149288718211751
Community 2,Species 37,0.31932682149991676,0.41042948752454816
Community 2,Species 38,0.3725556273739179,0.3414682185933587
Community 2,Species 39,0.198888151808688,0.22264444089054042
Community 2,Species 40,-0.060505489924498695,-1.116884145660208
Community 2,Species 41,-0.07157346707501823,-1.4722097616845966
Community 2,Species 42,-0.1498194515231826,-4.866546556120582
Community 2,Species 43,0.2896359513521975,0.33903803716213043
Community 2,Species 44,0.5221508820706173,0.47959302681616095
Community 2,Species 45,0.5370907196333692,0.46647844313094267
Community 2,Species 46,-0.07268693538798826,-1.2407394142621186
Community 2,Species 47,0.19092327293508926,0.07307466126681994
Community 2,Species 48,-0.003635955008712763,-0.7362060676624961
Community 2,Species 49,0.427674886757482,0.49185799432206045
Community 2,Species 50,-0.021178892087429527,-0.7052220461696389
Community 2,Species 51,-0.022957017040449126,-0.7098936011640704
Community 2,Species 52,-0.0880621897059755,-1.7624270656425096
Community 2,Species 53,0.3323038109846502,0.33330767755356544
Community 2,Species 54,0.2963177177757631,0.2542864708835459
Community 2,Species 55,-0.15021449408225057,-4.199520027574332
Community 2,Species 56,0.3044589077931638,0.45654883150492415
Community 2,Species 57,0.27019817987465794,0.2494743406812523
Community 2,Species 58,0.2589478525702806,0.22644789587910444
Community 2,Species 59,-0.039948310488372885,-0.8241454958549822
Community 2,Species 60,0.0016809745438813445,-0.5058269861711673
Community 2,Species 61,-0.023018554541578765,-0.8000572121808416
Community 2,Species 62,-0.09903779847249478,-2.006422093474116
Community 2,Species 63,0.24362528506632158,0.21528517665397942
Community 2,Species 64,0.2879144047601672,0.3494321692475341
Community 2,Species 65,0.5307038930509349,0.5360873946438861
Community 2,Species 66,0.4962888203732101,0.45885883244443204
Community 2,Species 67,0.2869997376587248,0.41282517175492534
Community 2,Species 68,0.2987506273707893,0.34598573192054666
Community 2,Species 69,0.27645073002276455,0.4266448562956675
Community 2,Species 70,-0.09441183427497898,-1.8886145562008885
Community 2,Species 71,-0.11985498257487034,-2.279202806629767
Community 2,Species 72,0.1432859167849979,-0.017385460685259223
Community 2,Species 73,0.5685542255726748,0.5230984861899056
Community 2,Species 74,0.3151768637965925,0.3741610751507765
Community 2,Species 75,0.20702947250739823,0.1478163662167148
Community 2,Species 76,-0.07363577507320901,-1.4201843607079714
Community 2,Species 77,0.23133098792208148,0.17618323478124495
Community 2,Species 78,-0.08695111150451806,-1.7742323597125766
Community 2,Species 79,0.52373497068556,0.5372651344017382
Community 2,Species 80,0.5265671223448316,0.5022811195031064
Community 2,Species 81,-0.08401727752995777,-1.6192029035603006
Community 2,Species 82,0.3517947693144192,0.3397365723417831
Community 2,Species 83,0.29696989197088464,0.3829721251176894
Community 2,Species 84,0.2715227229566205,0.40120366252810585
Community 2,Species 85,0.24702018602015685,0.3503784420183513
Community 2,Species 86,-0.07760610943615084,-1.493962521804361
Community 2,Species 87,0.30567685278589884,0.4160164771226976
Community 2,Species 88,0.0014902416608269936,-0.537405186256371
Community 2,Species 89,0.17527612825256905,0.2928864562707441
Community 2,Species 90,0.32105151825368616,0.45130214648009764
Community 2,Species 91,0.16934170020450154,0.05712234908269426
Community 2,Species 92,0.2672318159961251,0.2762443140047576
Community 2,Species 93,-0.09853372131673102,-1.888106678525874
Community 2,Species 94,0.28093687920226806,0.27954043511957005
Community 2,Species 95,-0.08081840923084954,-1.7229846161449187
Community 2,Species 96,0.08183002822164326,-0.1828959214836358
Community 2,Species 97,0.03400659542287794,-0.39628441004271214
Community 2,Species 98,-0.09154512117426952,-1.6170030317047028
Community 2,Species 99,0.6036578708655127,0.4325566448477146
Community 2,Species 100,0.3497378946737725,0.4134463908101822
Community 3,Species 1,-0.09849402786406153,-2.1746164739160956
Community 3,Species 2,0.003643178617688231,-0.5364956214234564
