Seed,Community CUE 1,Community CUE 2,Community CUE 3,Total Abundance 1,Total Abundance 2,Dominant Community
0,0.21816663527544408,0.32894136678735986,0.5886981148942104,8.342365517424785e-15,6.475507072783836,Community 2
1,0.18912634230434913,0.49453687251003486,0.6588023316053533,1.0994639712880784e-25,6.893400785253308,Community 2
2,0.27052139998422337,0.40157625777201933,0.6583469722686254,0.0002537185949902111,6.675611799273374,Community 2
3,0.13868083104705037,0.5008445517766608,0.7270897984502751,7.100975325021822e-12,6.913575428463987,Community 2
4,0.3374474139479758,0.5112940312050612,0.7312105515367294,1.0248584158235527,5.828411131802516,Community 2
5,-0.15728878371337576,0.5166114657777748,0.7886078975830005,1.3862373566057318e-25,7.159912174042045,Community 2
6,-0.002808280766749794,0.2678878268400325,0.6655524806586087,9.466920838309721e-09,5.934067945031409,Community 2
7,0.034171721606688285,0.26292770818869726,0.7219306970552007,3.224502998324919e-17,6.303336558058236,Community 2
8,0.062361237860841384,0.522976767840976,0.7813177906376122,4.06996675299897e-23,7.364195774640211,Community 2
9,-0.1723850561124503,0.3686345438526662,0.701573794765491,1.2339068127570662e-26,6.397805608286777,Community 2
10,0.14494901944132757,0.41217924152725854,0.6003773367326249,4.603463153785505e-18,6.880211691985533,Community 2
11,0.42356167577211934,0.5054445586032653,0.6161360348305466,0.03492626141294408,7.379813719391483,Community 2
12,0.04884083149258038,0.43638964781868667,0.679305439482777,6.087724933064002e-22,6.951416842539173,Community 2
13,0.17982199978298424,0.4468783577082482,0.6983412774992197,0.15103455557012083,6.752354055841974,Community 2
14,0.23471904343352018,0.5778945250423938,0.7356123276594447,0.2685338028228107,6.679250430131178,Community 2
15,0.3037863773663996,0.5346154234370539,0.6240162915991174,1.5272987110619763e-11,7.8324596625361735,Community 2
16,0.2933356314863975,0.2915212656896568,0.6174326258836574,0.7241659349943168,5.05360427873398,Community 2
17,0.012140429290967068,0.5260325275381703,0.7036019535241481,4.6507805401901923e-32,7.577465087910788,Community 2
18,0.3811498041314883,0.6150215393880831,0.6529953752850378,1.0081467835476394e-14,7.819965762324662,Community 2
19,0.19341854836576225,0.46284484900887196,0.6237473609278835,4.334432933275958e-13,6.9096420993132615,Community 2
20,0.15785907414037556,0.40843640283601373,0.6549274259575373,1.4503160361849981e-10,6.753758329291724,Community 2
21,0.2725724824063365,0.5260413613601337,0.6721036943632022,0.0003100271066311745,7.470459621173403,Community 2
22,0.20613304639220248,0.45124059126586497,0.6318254797638484,0.0002632761538579926,7.035954447939643,Community 2
23,0.3296966855439554,0.45989661176882696,0.6535490719064294,1.2467243684615945e-11,6.953519386368934,Community 2
24,0.44064830466546623,0.5393647654417375,0.5574692404900651,0.08671473356124847,7.464786569856066,Community 2
25,0.15474460206803162,0.529055287824902,0.6866292853020314,2.852580763244125e-18,7.2987273608704815,Community 2
26,0.30893787641915865,0.46593349081566315,0.6149258056202525,0.020032152265419104,7.248196694269586,Community 2
27,0.23102928453408791,0.39846383632079235,0.6128435987805768,4.5196604454014947e-11,6.70366281439715,Community 2
28,0.1611947106603876,0.4008800507797082,0.6097668913246727,5.294204605571729e-14,6.875560788667228,Community 2
29,0.12083871928913237,0.40059851356126946,0.7499807159824619,0.25436992284257703,6.568396893462172,Community 2
30,0.3157394055526894,0.5377166906210298,0.6957895850554724,1.4638266563060656e-08,7.354991075896235,Community 2
31,0.204551863918349,0.49577708128839093,0.7681809286403817,0.00015479703140131157,7.227838180774256,Community 2
32,0.15026319238315688,0.4952030254474167,0.6878758799519505,0.14037953340277415,6.8438963329453095,Community 2
33,0.19616026742933182,0.4928026231934794,0.6541779808809985,6.340362389651453e-20,7.586085205026069,Community 2
34,0.273635226788635,0.46276274946186424,0.6282242509327924,0.4941459608084395,6.280752607445134,Community 2
35,0.06201006254868172,0.3238321710860268,0.6685314596335258,0.0035916929207504803,6.209396263236974,Community 2
36,0.29903623695083376,0.274038310635088,0.630198675575843,0.8760160647526671,5.188797008833868,Community 2
37,0.07909726336109645,0.4567715907430071,0.7470486966856112,0.21645106463578634,6.7021075810907496,Community 2
38,0.10635401294966872,0.41695478549642606,0.6610756820571217,2.5687955867236745e-27,6.784859942484749,Community 2
39,0.3029567917355611,0.5345680914251137,0.6496336215287387,2.151196480205077e-16,7.4173532333374315,Community 2
40,0.3016365360809471,0.46834888564787996,0.6117599327278548,0.25351394316384845,6.643458727231081,Community 2
41,-0.12209219015786456,0.20233722819834105,0.7482379290526893,5.215157615739915e-21,5.634886222283459,Community 2
42,0.16829919138521537,0.4573141190680202,0.6554480392110315,1.4461072326159147e-12,7.158712525749272,Community 2
43,0.285660044652366,0.4864230632410662,0.615481328037593,1.1075062984069767e-07,7.3538138551865355,Community 2
44,0.33292451554646,0.5127593151839094,0.8123230831368073,0.18445106853060866,7.311931402853107,Community 2
45,0.2503959864530075,0.4929547718062702,0.6557555765183939,2.195182118600796e-15,7.421695222049509,Community 2
46,0.2692918836530512,0.48676706332879915,0.6529473863315797,1.5644606194581984e-13,6.989054070586832,Community 2
47,0.1478479925546468,0.5304830384463554,0.6269956393097529,1.0161472994178755e-31,8.074746894362326,Community 2
48,0.25390343456295245,0.4630638200995905,0.6486818241571192,6.044219115605746e-21,7.058251699243617,Community 2
49,0.012140829985333657,0.22661755480858123,0.6156656720888263,0.01424007814961833,5.676002477873094,Community 2
50,0.172438019072208,0.5168308277356507,0.6569263450510096,3.19187308976272e-08,7.056092780137636,Community 2
51,0.341615561198497,0.45670754125908936,0.6352874330046752,0.7061299731187145,6.70515898448228,Community 2
52,0.08079979085305912,0.5531235859980286,0.7174207377840056,1.3555316107216308e-11,6.628219010166604,Community 2
53,0.3492396558983285,0.4293511957053711,0.6477303502406213,0.32380195454222416,6.417059719208856,Community 2
54,0.24402699315660167,0.4683761224259601,0.6061046284511744,1.4492198869151438e-08,7.063087269568467,Community 2
55,0.25204950029893436,0.5003669689953166,0.7343667854234011,0.011242386686085962,7.213347959148156,Community 2
56,0.21133709679772367,0.2391498017279299,0.5627341026201893,0.33098547318806615,5.182660778329033,Community 2
57,0.308750354478909,0.11590815380835473,0.5765814865352732,1.1477612961131227,4.1780252299080365,Community 2
58,0.13078616531361953,0.3072280257152959,0.5746176772592048,0.0007102072994452028,6.0183631349182525,Community 2
59,0.11011073686182858,0.42867643675661365,0.6487098971115947,6.761037336573124e-08,6.706305602695121,Community 2
60,0.19595244705377737,0.3791979533509711,0.6116404687016145,1.0914751521746555e-09,6.601845836893013,Community 2
61,0.16245840364015862,0.4640505054750135,0.6582245305712914,0.16795382346410367,6.788672790978842,Community 2
62,0.24813192701747136,0.4532783221862138,0.6214507234275203,0.08461278204542766,6.748570643185163,Community 2
63,0.22083542969336453,0.5021306381527622,0.6372299544398489,3.014806902656675e-17,7.43630988912835,Community 2
64,0.47137038423237476,0.49172583107050183,0.5371417662038086,0.9877340409183801,6.326576876709941,Community 2
65,0.1359884520249463,0.2620826627507105,0.6639957934398529,0.5429149731881721,5.149227491677165,Community 2
66,0.20598617044752907,0.42822428015468245,0.6704287057643377,0.00905984353430008,6.644971762412303,Community 2
67,0.0010540811640089814,0.29280981989281013,0.8040583232705932,0.011628824001963448,5.7524645420639064,Community 2
68,0.24349829095242595,0.31998283547421086,0.6170259602050548,0.5148857955071431,5.471056985254128,Community 2
69,0.35986311924600534,0.35291017835954375,0.6833506203959953,1.578510258200314,4.393621267536053,Community 2
