Community,Species,r,Species CUE
Community 1,Species 1,-0.12341065466814706,-3.724340485360603
Community 1,Species 2,0.058888825561842495,-1.258216056038674
Community 1,Species 3,-0.09325591948971966,-3.1900320082892604
Community 1,Species 4,-0.03437229045796654,-2.002202619041247
Community 1,Species 5,0.05144707899263787,-1.1659460868767657
Community 1,Species 6,0.06575018534090285,-1.1248371631314178
Community 1,Species 7,-0.042429849105553835,-2.215683895637151
Community 1,Species 8,0.7981179985171386,0.2704930857678636
Community 1,Species 9,0.13545255793481586,-0.7809398021660309
Community 1,Species 10,0.2286803773962346,-0.08978473057527084
Community 2,Species 1,1.257902931569101,0.3172579944578573
Community 2,Species 2,0.13646552683217392,-0.6300877366714751
Community 2,Species 3,0.6437694360892257,0.36572019863945016
Community 2,Species 4,0.5155472364929539,0.1966931184824355
Community 2,Species 5,0.00243048266617088,-2.0988648347671717
Community 2,Species 6,0.13779070227541693,-0.5975338865481954
Community 2,Species 7,1.0449100507091997,0.5663517970556888
Community 2,Species 8,-0.1292652186737344,-6.692673781223939
Community 2,Species 9,0.07834879779555498,-1.3721446723192008
Community 2,Species 10,0.8143327574395549,0.4598337481710613
Community 3,Species 1,-0.16628269036851137,-3.724340485360603
Community 3,Species 2,-0.007771342978077578,-1.258216056038674
Community 3,Species 3,-0.15710375998478465,-3.1900320082892604
Community 3,Species 4,-0.07885250534314815,-2.002202619041247
Community 3,Species 5,-0.018761311365962277,-1.1659460868767657
Community 3,Species 6,-0.022607539441790697,-1.1248371631314178
Community 3,Species 7,-0.1214116776408025,-2.215683895637151
Community 3,Species 8,0.23750366700110348,0.2704930857678636
Community 3,Species 9,0.060255577191052845,-0.7809398021660309
Community 3,Species 10,0.2127073366020338,-0.08978473057527084
Community 3,Species 11,0.533142599095936,0.3172579944578573
Community 3,Species 12,0.0978218311392732,-0.6300877366714751
Community 3,Species 13,0.8025802579372039,0.36572019863945016
Community 3,Species 14,0.39430595396023577,0.1966931184824355
Community 3,Species 15,-0.062154892083210934,-2.0988648347671717
Community 3,Species 16,0.027571840684984195,-0.5975338865481954
Community 3,Species 17,1.309583506407685,0.5663517970556888
Community 3,Species 18,-0.13882580292297128,-6.692673781223939
Community 3,Species 19,-0.03033678511435281,-1.3721446723192008
Community 3,Species 20,1.0308033565707733,0.4598337481710613
