Species,Community,r,CUE,α_1,α_2,α_3,α_4,α_5,α_6,α_7,α_8,α_9,α_10,α_11,α_12,α_13,α_14,α_15,α_16,α_17,α_18,α_19,α_20,α_21,α_22,α_23,α_24,α_25,α_26,α_27,α_28,α_29,α_30,α_31,α_32,α_33,α_34,α_35,α_36,α_37,α_38,α_39,α_40,α_41,α_42,α_43,α_44,α_45,α_46,α_47,α_48,α_49,α_50,α_51,α_52,α_53,α_54,α_55,α_56,α_57,α_58,α_59,α_60,α_61,α_62,α_63,α_64,α_65,α_66,α_67,α_68,α_69,α_70,α_71,α_72,α_73,α_74,α_75,α_76,α_77,α_78,α_79,α_80,α_81,α_82,α_83,α_84,α_85,α_86,α_87,α_88,α_89,α_90,α_91,α_92,α_93,α_94,α_95,α_96,α_97,α_98,α_99,α_100,α_101,α_102,α_103,α_104,α_105,α_106,α_107,α_108,α_109,α_110,α_111,α_112,α_113,α_114,α_115,α_116,α_117,α_118,α_119,α_120,α_121,α_122,α_123,α_124,α_125,α_126,α_127,α_128,α_129,α_130,α_131,α_132,α_133,α_134,α_135,α_136,α_137,α_138,α_139,α_140,α_141,α_142,α_143,α_144,α_145,α_146,α_147,α_148,α_149,α_150,α_151,α_152,α_153,α_154,α_155,α_156,α_157,α_158,α_159,α_160,α_161,α_162,α_163,α_164,α_165,α_166,α_167,α_168,α_169,α_170,α_171,α_172,α_173,α_174,α_175,α_176,α_177,α_178,α_179,α_180,α_181,α_182,α_183,α_184,α_185,α_186,α_187,α_188,α_189,α_190,α_191,α_192,α_193,α_194,α_195,α_196,α_197,α_198,α_199,α_200
c470,1,0.9505097141308836,0.5860572058950736,-1.0541562614213478,-0.325603847699054,-0.13620909366098402,-1.1853782717786414,-0.2422587174454725,-0.15216678372721226,-0.27517918979613487,-0.23147904356044596,-1.0287277002099882,-0.2279321453797548,-1.2269817456541763,-0.4067739967946626,-0.24716969150710627,-1.1405125331157242,-0.7671548317665727,-1.0118105901996868,-0.21011650859952985,-0.1751539640948418,-0.28017657689909226,-0.2868500062267646,-1.116145414443136,-0.2592018607547898,-0.17407238135804412,-0.508308421629002,-0.47933583686582476,-0.3180105797346361,-1.22004847623287,-1.1633745466397614,-0.16586748658608602,-0.3133593902073232,-0.26263923971218256,-0.1610679001881658,-0.5051475815231607,-0.21788741730378725,-0.4230901860767374,-0.19879587740781549,-0.14542137013990417,-0.4210360559492407,-0.20911776139030588,-0.23197393303976885,-0.156516692967413,-0.3045138044256962,-0.40819579769799974,-0.4336521062764689,-0.17062068544808176,-0.17274014303847313,-0.1963952177880709,-1.2218917393604842,-0.2638989158828243,-0.32495879539917366,-0.23351803674214133,-0.5054285830399448,-0.22240984290956436,-0.17117049687402125,-0.3084198098072069,-0.980521393264862,-1.218155840975666,-0.3221049768421371,-0.9995978787380797,-0.41703991030890725,-0.15658802864970411,-0.22314557440045565,-1.0260967753243635,-1.1745797427001985,-0.30460713388055877,-0.18838142274382624,-0.9388746559214531,-0.1476829033659546,-0.40826245970217145,-0.1805164689605984,-0.23074336740266005,-0.18857027782239252,-0.198910928070191,-1.1856517918539176,-0.44118774856254483,-0.3451798411099992,-0.3112260935637515,-0.3286913461544582,-0.25459851984200943,-0.24879737683003453,-0.17986878260044015,-0.1826176069737333,-0.2503167217596171,-0.48627398260983623,-0.7179672970932424,-0.8185021502343298,-0.43665197617585505,-0.35314981238456794,-0.1916300221451269,-0.11138729023376669,-0.13073860469536908,-0.2824587614140355,-0.2554110299421151,-0.3284200896587994,-0.28230637973627204,-0.3952934086405218,-1.1605333450504467,-0.27343521319661407,-1.182406564047715,-0.2915708543958846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c173,1,0.9395962060403658,0.5964515523900459,-0.32655753612298033,-0.5590026306570453,-0.24746909053045624,-0.31963643995778523,-0.4383604941322246,-0.5218028764577399,-0.41023838979617777,-0.46597349819270795,-0.3561226453112074,-0.5308853195293165,-0.32963778677690125,-0.22532151501213207,-0.3668237015342751,-0.3335500118071449,-0.3073213548612924,-0.29112695850379194,-0.19952865686546495,-0.4080104655334002,-0.4796234298361674,-0.24686954112761647,-0.30367562073646737,-0.17957120344453031,-0.33471955431058226,-0.28005521160168295,-0.3566474148298939,-0.3866591207770439,-0.3177592682373907,-0.30560563295907744,-0.5215529281325839,-0.2495108892025576,-0.4991029876738787,-0.46261483281914756,-0.3876382910951621,-0.4607930110067577,-0.37701862034114186,-0.5010403607827062,-0.5568415749380622,-0.5333145176161675,-0.18296526063731927,-0.25546231179686946,-0.38447152379580923,-0.24940240405648334,-0.4182308288668574,-0.41648045971455955,-0.32068911133125855,-0.2218125410959113,-0.5313860187739464,-0.3262346852696635,-0.2843945848476466,-0.37115144692693947,-0.36940680728240566,-0.349083965826701,-0.4051596973620864,-0.4297963006351092,-0.24625128792224327,-0.3243359087185725,-0.2946188574046719,-0.3781057963245127,-0.30353967778545543,-0.43129519124657845,-0.5364541326906982,-0.5156034212542756,-0.32745461755874417,-0.3336422387326728,-0.1931750752467346,-0.4896840060215838,-0.30426658130883855,-0.24684431124763734,-0.3183144337176144,-0.24856546431656745,-0.5732435336354914,-0.5774125879025689,-0.5362159431788616,-0.3362542014997221,-0.4200184071989784,-0.36151027001818903,-0.19357121191535953,-0.2040973904626337,-0.29181097546964524,-0.1665273740156513,-0.6919759313418693,-0.5086854075647715,-0.2410152461885229,-0.42633384027098087,-0.26763663895620154,-0.31911298791405884,-0.34778453558710737,-0.29874712546019583,-0.22919306578841103,-0.5494892297752847,-0.5432705031529796,-0.2391661170015989,-0.39293814705464153,-0.4629004894129199,-0.41317380792041036,-0.36406603554319317,-0.329893830614755,-0.4446154840283338,-0.29949345502419406,-0.3511264313172012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c202,1,0.9913491715351733,0.600325848029067,-0.13720819692477698,-0.24794027690280346,-1.2170996914953383,-0.11114129662260891,-0.30293283737869237,-0.25855012571847014,-0.5901096766301783,-0.6807981630701673,-0.08190230419597479,-0.16214615238165303,-0.05370820866919496,-0.226131045938599,-0.24488236640643427,-0.11876374513615096,-0.22622141178682093,-0.20286937458121426,-0.24363405938497942,-0.4939405268715348,-0.22713834770993258,-0.18052433186295175,-0.11056031687742095,-0.2133948603396011,-0.8853782945414023,-0.6134979052280898,-0.3498373294653227,-0.23347947102199354,-0.042764086056742645,-0.146158470883279,-0.16612097869870276,-0.2214759171860812,-0.15616316781806944,-0.8394851483235887,-0.3199653487130584,-0.7763499342043216,-0.3123782252632432,-0.5655607418241819,-0.0649869226042841,-0.25925345568032665,-1.2821846601408844,-0.22387922634435284,-0.47833881602305556,-0.33449787717274293,-0.26569963216921,-0.5633199299184282,-0.5850080099387854,-0.3221176692227649,-0.17260877767790606,-0.09848198542498923,-0.3241810817638011,-0.5686389215806149,-0.41724614439797303,-0.6159036553030077,-0.8773284105104675,-0.5914590423904306,-0.13590068039848846,-0.20759301029683563,-0.1258033268426323,-0.5203069070191562,-0.2555253463965962,-0.42218396729878993,-0.14476864268909514,-0.40729795214805053,-0.26236552490168996,-0.09971385516436641,-0.150561509720534,-0.7901816733523019,-0.3148268253396928,-1.1838321512183174,-0.43056335994492545,-0.3179875470437962,-0.07075585264206845,-0.06849562974665072,-0.13954326651683352,-0.07696813241703966,-0.2478161244336148,-0.3670641895958137,-0.2365971882682387,-0.2425838536619478,-0.23110458512152754,-0.24565938512550076,-0.3563727451719251,-0.11112589081746277,-1.1879191493189234,-0.5473212855639877,-0.390901966369064,-0.28113552504692724,-0.42476434277155195,-0.7256734732523805,-0.261456711546036,-0.14307813766172411,-0.14704733400573136,-0.16808394303034804,-0.6444404397595909,-0.29412555899293585,-0.5440882437199375,-0.5279118329312736,-0.05994000909228714,-0.4170378398931124,-0.10081620466294912,-0.5338127614787531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c562,1,0.9682335496966809,0.59058109231986,-1.1846185022811684,-0.3175582391926599,-0.10979903924200285,-1.3438664534298532,-0.20707051157943868,-0.09307463477000745,-0.26446250890254236,-0.22285958613111495,-1.1498020155658535,-0.17820954758601806,-1.3914190063050191,-0.3877160672009373,-0.20274169631957756,-1.2900284697095878,-0.8327119670679484,-1.1330763608440837,-0.14516237527905895,-0.13076503214752064,-0.24450591897816012,-0.24069734349625935,-1.2546065333378518,-0.20152120060212458,-0.14970372138483096,-0.5330894213974728,-0.49284282957383296,-0.2843013898673189,-1.3818021745186937,-1.3149912071071905,-0.09827516202662909,-0.27587830311815675,-0.2187602064511024,-0.14482264305629494,-0.5255507286686374,-0.2108761468210309,-0.42843964311344873,-0.17602137351668723,-0.07303821395509855,-0.44010989331024464,-0.19379270955808786,-0.17445688415386681,-0.10192392154515377,-0.2674594799644336,-0.4037815417175903,-0.4575735154526171,-0.12061846765467378,-0.10283325817808357,-0.14115734857246262,-1.3886249306998248,-0.21997896977456513,-0.3126114079037959,-0.1926622725553971,-0.5384035503965746,-0.21465790612340335,-0.13018795209112927,-0.2643963140710022,-1.0956762651652574,-1.380556641165597,-0.31569594634467757,-1.12144977403785,-0.4266293154179592,-0.09058498356014155,-0.19329327108603267,-1.156361740390504,-1.3299583108802442,-0.2563840688618561,-0.1797783271525243,-1.0492472281587693,-0.1213276907535091,-0.4032947596469082,-0.11565088508609034,-0.18015978060200158,-0.12777745331506185,-0.14019017079240917,-1.342476495226621,-0.44574316559261445,-0.32645305316177264,-0.2678392929500694,-0.29100655326792785,-0.2082886719451228,-0.19036294607411008,-0.16627029878633443,-0.11722675063781274,-0.24764708005936192,-0.523360770045026,-0.7791552553663277,-0.8997090949018944,-0.44313304839107476,-0.3552852710586137,-0.12388497380818764,-0.032025734607140255,-0.05779427149694619,-0.23292283604772246,-0.2380937579155157,-0.30793879791779777,-0.2677847949774099,-0.40158746746241347,-1.3110727873564771,-0.24426794287060805,-1.3366544766395,-0.2700100568797889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c532,1,0.9423870413905239,0.5921540094808769,-0.2421222244554932,-0.43973510652151204,-0.30248885328037994,-0.2084415436950522,-0.4689427794611278,-0.46131455327745574,-0.4062356830556869,-0.39951780909291207,-0.25020070633902525,-0.44166861907782795,-0.20473090397283739,-0.4702448021225465,-0.4910972440610976,-0.22124442366719088,-0.31535348374378586,-0.25011667339439503,-0.5415466578644264,-0.4418571231982602,-0.4321551331041751,-0.5312623858307002,-0.22057195496056795,-0.5344309039648524,-0.37519529515030636,-0.3054197143462309,-0.38671513076115005,-0.4350687100148539,-0.2133366155849998,-0.19762497224549797,-0.4496106401011114,-0.5052708972690239,-0.4428443568529115,-0.3802399127942556,-0.3785358149942736,-0.3784761885595276,-0.43065226198385564,-0.4179230416157836,-0.48807350843991926,-0.4376173934225799,-0.24958289629430772,-0.527113868903607,-0.44169805615063146,-0.463685305107362,-0.4122797274116582,-0.3549259840977905,-0.4252625002980836,-0.5212280635207628,-0.45558381737039205,-0.19596821371874373,-0.4745481925168852,-0.3623794395044342,-0.4350149175031147,-0.30343619854709525,-0.3506475031217849,-0.40409768002856683,-0.5291063479630816,-0.2437461829196118,-0.18632082821053272,-0.4117583485574382,-0.23671920573791588,-0.37483675873193506,-0.47748680673824606,-0.4243369039498106,-0.21806022414795148,-0.20312601166555733,-0.5375022793764118,-0.3860708001947431,-0.23475169801811668,-0.29929462407153273,-0.3812039652969195,-0.5195546463827986,-0.4580411787185555,-0.4725503897206027,-0.4499987190328364,-0.20928256038936305,-0.41341688606393967,-0.4142925184199447,-0.5094495098602412,-0.5013771023576191,-0.5190194675229594,-0.5334495677081472,-0.48329777705689614,-0.4703376083400299,-0.2639877038636606,-0.34204517159546843,-0.2985550508383926,-0.2807077323933507,-0.3795951047610789,-0.34558425341679333,-0.5299310018071841,-0.4703404949524877,-0.4717725608232809,-0.5276304515345103,-0.385007201037905,-0.40597034074468497,-0.400854631199978,-0.3734145954584205,-0.22838377507039048,-0.395358824093031,-0.2096004845386788,-0.3973301263778324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c917,1,0.9156467386559447,0.590255811687087,-0.1520465858230199,-0.5233884010101086,-0.2589207979835613,-0.09380185389029555,-0.4609060141855111,-0.8005651014278041,-0.2950694479013495,-0.28688740039390603,-0.26846043681027276,-0.8940923804204938,-0.12081452077294311,-0.19109842996963453,-0.4215453660901219,-0.12089326839588785,-0.2758329291536827,-0.11592557126969125,-0.21299558832041146,-0.48445795247192563,-0.7305153096744726,-0.20425047657431689,-0.18674704134354878,-0.1935068082074761,-0.2462632041775344,-0.3242920891003458,-0.3273743157571958,-0.6104320242560016,-0.10058710544788829,-0.15881661923581963,-0.9935511595135135,-0.21033602848040686,-0.8203922456920199,-0.30335911747941025,-0.3559707642429405,-0.28645810096188584,-0.236698844575381,-0.4393332339662462,-0.9706389466715113,-0.275987147294658,-0.2898604485938981,-0.2871019025963052,-0.5592665291708291,-0.3077870359416493,-0.4800462242378049,-0.26959046636810197,-0.45666385353130795,-0.3075378328560189,-0.8702818906091079,-0.09481302406732253,-0.3544339483883436,-0.4879301310475097,-0.5083193770577348,-0.31982191738391097,-0.29252810864583045,-0.5739267726918021,-0.2232107163897774,-0.2189014377609073,-0.12608714532653142,-0.25736866157800853,-0.14220684872807754,-0.4192813726356716,-0.8931471207324673,-0.605775093545326,-0.1677711174634881,-0.1581797895112275,-0.1613585470842013,-0.275507080730106,-0.19404529288102246,-0.2909203494940352,-0.4058444170291752,-0.2991156622630642,-0.9388779793491411,-0.968500708257022,-0.9536854019476501,-0.14630957739365558,-0.4137940532733864,-0.45795635399234563,-0.1856299037804382,-0.17845475946713887,-0.25228327116643295,-0.16274452939882125,-0.3994211080519828,-0.9120329525011678,-0.24417637077535798,-0.23704231530591097,-0.21728922208986512,-0.2705503266557061,-0.3485310308655299,-0.2507030525838636,-0.30218261398186314,-1.0437128148870591,-0.9722476473948368,-0.24355777189958727,-0.38582571387344267,-0.6506307652178496,-0.3893451563832416,-0.3095458102120983,-0.12062533071501276,-0.6647083161984706,-0.11336970276091424,-0.4183651161282575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c29,1,0.9762909555366193,0.6008863156136659,-0.2761584093852458,-0.4106578098728105,-0.5894497268289098,-0.26657790957358474,-0.40599374327492915,-0.295367735938054,-0.515969482134421,-0.5762096529156662,-0.231660379652452,-0.21839452671754347,-0.23953039560426262,-0.3729908287557984,-0.3765171606987312,-0.273523366012434,-0.2899183613464958,-0.29811013041935036,-0.39904300744126325,-0.42770392776495947,-0.27220916025016195,-0.400908376860963,-0.2276105668057212,-0.3814515334624441,-0.5748371902274857,-0.3797767667918723,-0.3809541222720993,-0.27361252142982095,-0.24272286676706642,-0.23795336130902575,-0.17938246709508096,-0.39810929653910637,-0.2293187424157211,-0.609534916906006,-0.3714510104819395,-0.5929907526041698,-0.44272285560964864,-0.5064426088750724,-0.1971828002548909,-0.49877491818600006,-0.5316793162219806,-0.38436887169729855,-0.3793672375652324,-0.37162200202686,-0.34036833672479017,-0.4895647408731456,-0.41166992710521266,-0.387211789994096,-0.24017447836240302,-0.25802913327797844,-0.37510073248288706,-0.38315561985336455,-0.36708518375230825,-0.4190669277630203,-0.5771590931704311,-0.4134847367106504,-0.3767450898418461,-0.27258902963540627,-0.2314503911783305,-0.4934799727956849,-0.3039106620294057,-0.40201526187355896,-0.23752467524010606,-0.3980452445686181,-0.2978038730515698,-0.24136772530254808,-0.3826011559016582,-0.6225399676975436,-0.3022777324621807,-0.5632200274388092,-0.3521990068354623,-0.40287321125178055,-0.2026867574790574,-0.20097109117912354,-0.194744100119911,-0.243531377539214,-0.36274606905550544,-0.35353127634155734,-0.38493082210975144,-0.3907333411771783,-0.4159150061153819,-0.39702651235748515,-0.5963110030602957,-0.19923511171023825,-0.5589051366855973,-0.49494910827504257,-0.33707909793884916,-0.2960092220516107,-0.38850727922596723,-0.4817928802469124,-0.3783128264640723,-0.1792099776052116,-0.20684140176582844,-0.3746053536380421,-0.4753994297956634,-0.3019956133229798,-0.4608792611765919,-0.4441027618096668,-0.25620616214060404,-0.3211145640895295,-0.24490305162971265,-0.40959654539273516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c334,1,0.9588116583603299,0.5938359044589896,-0.23310448151725482,-0.4660298850096358,-0.6812247111940873,-0.22532750589065045,-0.39901533942995737,-0.28690568353420176,-0.5765498943761396,-0.6927735384396922,-0.17909833518351084,-0.18623190297075573,-0.18968199664993074,-0.2500797613027603,-0.31426046983068084,-0.23706677947244592,-0.22490788080505167,-0.24802183566562885,-0.25126389132018134,-0.4372370213081676,-0.24282180713560647,-0.27344402322751893,-0.1615430975265502,-0.2180544003559314,-0.6538343587664649,-0.3665651508575038,-0.3571086784260114,-0.20168391386905735,-0.18506159099892788,-0.18626247215607625,-0.12683170356076032,-0.2834462730154417,-0.1851943079686222,-0.7550854681892114,-0.3592393471294829,-0.7273658001407527,-0.43379212587100957,-0.6001331432130314,-0.14709156290044173,-0.5752752899420186,-0.5961651604237393,-0.2599083045703971,-0.3599204450243207,-0.26928722398015564,-0.3159671154675422,-0.5582342366179178,-0.3874102874656108,-0.25759426059505613,-0.2120666807399138,-0.22024957380794263,-0.2858386573852517,-0.3913760788175022,-0.33422540318738436,-0.45302717210302584,-0.696533978276547,-0.4471655942903909,-0.23860945970824302,-0.231402217452515,-0.17467507438368796,-0.5246248131797463,-0.26980283061350063,-0.4297138779114389,-0.20089585031061785,-0.44613677779628763,-0.2797090438544697,-0.1992146506450344,-0.22039278817244556,-0.7797569168132009,-0.2735794361351273,-0.64475304626445,-0.308400381938806,-0.2915450597005754,-0.17211558434827468,-0.16623430813235973,-0.15218906856038913,-0.19884916915878703,-0.3457014992141773,-0.31461856133339083,-0.23880729951870291,-0.2547399515487235,-0.32318446961034375,-0.2363261033902638,-0.7733814943599693,-0.13709146196898617,-0.6483172806477957,-0.5734571086532697,-0.28884049862583283,-0.2540087315071992,-0.3713816631979954,-0.509407254399239,-0.24184051695485048,-0.13060277556138658,-0.16535825137961677,-0.23533763087689985,-0.5247302661369717,-0.28956623808556436,-0.5016124152787614,-0.4641079136119619,-0.20547409376659226,-0.3188798507960935,-0.18555902520232925,-0.4036685702113233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c424,1,0.9627109512752792,0.5951069206779714,-1.0271391609238079,-0.3548902138684605,-0.08036117670369505,-1.1488626400144364,-0.24888111702493668,-0.26821394366325746,-0.22942577910894385,-0.17675894580927404,-1.0387514942593792,-0.38317067538464095,-1.2024086545714723,-0.3418197737289915,-0.24307888653008136,-1.1086849554052487,-0.7602933390664837,-0.9700213328995098,-0.13663597885857123,-0.18777231355252616,-0.3841923657238432,-0.21329604320067191,-1.1080144218848351,-0.18371557281804338,-0.10909637258777867,-0.5015311127553638,-0.4637965866289919,-0.38748045848405027,-1.1881848268125872,-1.14950800844792,-0.35195125786062015,-0.24547402051079162,-0.3958411798446683,-0.10828615047021097,-0.5004460232073463,-0.1633140745410135,-0.3687373787202592,-0.1931427246103789,-0.3183068189565512,-0.3713647792608958,-0.17588790723075917,-0.1835868093721518,-0.19564036312019764,-0.2720967462672578,-0.4370436185439663,-0.392322496561027,-0.17853560120806353,-0.12935777935569984,-0.3401678797908117,-1.1887954659999098,-0.24262160880205358,-0.3552491692716798,-0.2615736149174455,-0.4934650459890916,-0.17434606600995228,-0.21529136853170983,-0.24378524354017672,-0.971448548559561,-1.1979052981875375,-0.26823919717195827,-0.9660249024292966,-0.4260334995461593,-0.30390977803929337,-0.2772223389616498,-1.0033277331315276,-1.1599306944243817,-0.22033929321336515,-0.1261124015973411,-0.9195473179486149,-0.10465604045231322,-0.41765402966323206,-0.13341391148942933,-0.3989179637184856,-0.3629381756406127,-0.37243567438156155,-1.1667516181132442,-0.44904190330598237,-0.3646111962204,-0.23689918696256332,-0.25295351254450626,-0.19423601976525814,-0.16267055461847307,-0.14564910735944242,-0.3410097595400593,-0.2002944554390722,-0.43753040130130355,-0.6899381497774719,-0.8143736499665362,-0.4263506200819203,-0.3065275244200575,-0.14713929928981462,-0.30856489106941704,-0.30452888575558434,-0.22356503732331182,-0.2422628776499047,-0.41005413251076844,-0.270556319215626,-0.3675786277807448,-1.1301623177782747,-0.3569612563172078,-1.1536858087954358,-0.29421947619738575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c976,1,0.905186882383708,0.588615854729869,-0.2276466589060656,-0.5331284033706165,-0.16179410358638438,-0.17853057048120002,-0.44159828687867697,-0.8949633448711157,-0.21769120209517595,-0.18579785775796964,-0.38327352186996416,-1.0481946439938026,-0.22590134572634038,-0.1298443944900113,-0.39700774215742174,-0.20307641026318224,-0.333833133439114,-0.16993581904580993,-0.11339331559731625,-0.46464200866813105,-0.8339620832575638,-0.11177277865346726,-0.29766102770370445,-0.10103927711476249,-0.13607127765023547,-0.3440520211899199,-0.32500552035159436,-0.6861315015522086,-0.19679808907053076,-0.26954591531615124,-1.177289228402318,-0.12866672601291415,-0.9556587028369525,-0.1937085235213964,-0.368047827510581,-0.18368716934187718,-0.17568011976548403,-0.39098653110967696,-1.1316622398794456,-0.2050076658888469,-0.23831321350244924,-0.21642906864026554,-0.5718752989382335,-0.26837790461653743,-0.5159262201691224,-0.22153816215816657,-0.43872956175719396,-0.2370049504437553,-1.005209987672742,-0.18881584991299058,-0.3191361968914063,-0.5165251154413146,-0.5207750566911761,-0.3258595127024194,-0.20372087023522079,-0.5900447947911928,-0.1453976466302071,-0.3053711676924207,-0.23850124127303557,-0.18061644568243218,-0.20311049752739185,-0.4301069131723304,-1.0258741124099497,-0.6343386206287145,-0.24379616276283067,-0.2670752935125642,-0.06384991280594589,-0.15576343193048953,-0.26306296096935594,-0.2117064296854956,-0.4270370236650138,-0.22252221222360954,-1.1055120413930368,-1.1358667260666484,-1.125542577814426,-0.25137720118764123,-0.4286149886028009,-0.4777937057302011,-0.10110719570473127,-0.0938118810031551,-0.1666389371565834,-0.05671388465119138,-0.2943845873247898,-1.0654748439597221,-0.17267256948162224,-0.18699369884094572,-0.24493605075680483,-0.3384881534799368,-0.34675063154594843,-0.19499201562036156,-0.23266682908576292,-1.2300801120300597,-1.1332205913124365,-0.16947430297012087,-0.3474151989198328,-0.7352380849430569,-0.3551048513199451,-0.27785421825383483,-0.2082777089905207,-0.7445538677331212,-0.20935785043547422,-0.4096171799578529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
