Species,Community,r,CUE,Abundance
c186,1,0.45979825222521054,0.5430276420600085,3.4631715960433067e-09
c96,1,0.48248109097381014,0.5504066114916384,0.0010412450130641586
c600,1,0.4880998091585371,0.5534699681676545,0.06279773792088705
c511,1,0.47261288450222305,0.5498639382770766,7.759371965917746e-06
c164,1,0.4783538532113046,0.5487975668262346,0.00010013090641770423
c966,1,0.47447356843990407,0.5484768010164143,9.981723123475402e-06
c742,1,0.49257498375743597,0.5553596755626617,0.5320234793287641
c753,1,0.4663083838585702,0.5462133076161118,2.0223896747123053e-07
c267,1,0.4909767914809276,0.5530721881717111,0.06140415239119538
c480,1,0.4771425443278109,0.5460541002594412,3.1237806824991867e-05
c63,1,0.4721433111017779,0.5472995812079505,2.9727892559427674e-06
c851,1,0.47657830423664244,0.5486007386729568,5.539350206862509e-05
c631,1,0.49100803419063516,0.5515135938642959,0.057073646332941284
c198,1,0.46641687218173156,0.5435447580285802,4.411915916101341e-08
c573,1,0.47233278543459595,0.5444379024415162,2.110570020599561e-06
c976,1,0.4875420677554236,0.5524244361295644,0.021913811661006838
c587,1,0.47461318322363893,0.5498966940257312,3.0332383427860724e-05
c100,1,0.48052321021384226,0.5492741263799911,0.0006628724402319737
c324,1,0.4750227835031155,0.5469494939412132,1.8928501762392055e-05
c517,1,0.47178353456204747,0.5435444763096797,1.4361813609631237e-06
c672,1,0.4919730142060405,0.5569175800282695,0.9012625354577122
c130,1,0.4913835193812408,0.5552692485161111,0.21513093085602636
c5,1,0.49005570700305806,0.554487811626211,0.10730919772361591
c378,1,0.4884683541125454,0.5513679240610225,0.039114317567540136
c506,1,0.47720274138841584,0.5466862266732102,2.5822408967372294e-05
c18,1,0.46278734328073795,0.5441024211618556,1.158817978942514e-08
c255,1,0.48984111726933116,0.5522781857974299,0.05188280556472041
c626,1,0.4796029600778761,0.5497156829097267,0.0002774196443667722
c354,1,0.4919991688624579,0.552463653141879,0.5066724428726112
c127,1,0.47800534754384344,0.5442050365882177,1.7773914020719084e-05
c213,1,0.4742972589080447,0.5471908331394559,9.745923295758388e-06
c112,1,0.47943259842643393,0.5529522156606721,0.0007909000981978018
c216,1,0.4805735982838304,0.5509285000745074,0.0005207995240097928
c6,1,0.47329454642356406,0.548948302717134,7.659274720296945e-06
c257,1,0.4920996766013086,0.5576250896031787,1.4117223705217432
c196,1,0.47511967594188687,0.5457307218325739,1.2758955213544588e-05
c898,1,0.4797081460307602,0.5490657387617474,0.0002432436861378874
c666,1,0.49218953119543357,0.5575648055219455,0.8530149432585525
c675,1,0.4745910070663536,0.5466598655197935,1.5106056601992777e-05
c142,1,0.4812343067610174,0.5509151297054679,0.0006214624755017326
c509,1,0.49163449486565675,0.5605468339255661,1.7335894324987473
c82,1,0.47869477416808215,0.549379674956092,0.00013088241590645898
c281,1,0.48719891538952287,0.551451298862289,0.014756620505510383
c921,1,0.4757093607244159,0.5505976472153037,4.099624699987922e-05
c187,1,0.4588439949529711,0.5433334964340619,3.2288484310585376e-09
c711,1,0.46885002707528683,0.5456727668235954,3.286775317984834e-07
c914,1,0.4806781267049639,0.547244192165304,0.0003954253061521145
c514,1,0.48167199518904524,0.5506357551099523,0.0006220028014441684
c568,1,0.4782849582773156,0.548326353841797,8.476580522821513e-05
c19,1,0.49208625227256425,0.5573306692032305,0.45583703356978206
c404,1,0.47282268439208264,0.5475461986174885,3.1794897258242394e-06
c301,1,0.4825244353571473,0.5502656156382209,0.001238622787771654
c695,1,0.4714964662121397,0.5444711602135668,1.7323868203869348e-06
c645,1,0.46223579679683907,0.5432941170929289,8.552714342371019e-09
c170,1,0.46614937528236167,0.5411341031567428,6.04709403347976e-08
c135,1,0.4786518137414485,0.5496010917893165,0.0001014404656887898
c95,1,0.457171809296418,0.5423348963467627,4.744550714689014e-10
c114,1,0.4761319225131008,0.549586552184062,4.063777320420647e-05
c528,1,0.4885219372070758,0.5518582022678284,0.03812930787135524
c591,1,0.4779659642159043,0.5507773591315506,0.0001908547203304428
c981,1,0.4849960634177849,0.5493504781266898,0.004882519849422504
c265,1,0.4740140498344674,0.5464071022795369,7.29951334235389e-06
c720,1,0.4704280071359411,0.5479321425092532,2.2115370855032956e-06
c171,1,0.4760755134109592,0.5463953720679711,2.3129426765291944e-05
c343,1,0.48193156771390794,0.5516274416603351,0.0008224614593507554
c220,1,0.4806597395649287,0.5477981883676625,0.00029598135527397366
c128,1,0.4902719386691003,0.5507782289046649,0.07160994975587896
c348,1,0.49224319871410793,0.5528054040187091,0.7642751910050898
c710,1,0.4921488032437302,0.5578613540132824,0.49993406563613424
c731,1,0.4783999138385076,0.54872146145675,9.161123060693744e-05
c323,1,0.46822468010353124,0.5454470123589561,1.8151583338523995e-07
c470,1,0.46314664330135014,0.5424060591163877,6.727593608830909e-09
c407,1,0.4678460073224581,0.5462026235234674,2.155152849568666e-07
c99,1,0.4645373866949473,0.5449345350892403,2.8767781547794917e-08
c345,1,0.4844396588307699,0.5495357637617705,0.0017039074926732429
c123,1,0.48027216887121044,0.5509294209010464,0.0005634901906774616
c776,1,0.4633770003808672,0.5419132425844241,7.45089573996109e-09
c476,1,0.49235887978462606,0.5564292040387768,0.7799726219401508
c571,1,0.46969305665422895,0.5486420809440375,1.261634341264606e-06
c174,1,0.4822688416313134,0.5501499625921416,0.0015493286323967634
c823,1,0.47117622000856135,0.547313188667033,1.1510382257213465e-06
c579,1,0.47859123215897936,0.5497786102002402,0.00013481253299352247
c153,1,0.4868827864812166,0.551758356036058,0.011659625872821409
c262,1,0.489808163109071,0.553700197994844,0.08984522512705612
c988,1,0.47834379040785885,0.5495003395236622,0.00012973953631954753
c237,1,0.45745740728696416,0.5435051580006578,9.639971159401247e-10
c136,1,0.4767729229127874,0.5473274578259927,2.50815741688069e-05
c736,1,0.48964051971266476,0.5519044790416942,0.05135808879308481
c169,1,0.49239295528222293,0.5543532105355324,0.9064199817020173
c66,1,0.49113322784426,0.5529161076296026,0.17552408748144466
c557,1,0.4776263544632826,0.5477234028490733,6.0586094893446364e-05
c199,1,0.48563089423307315,0.5529867283915849,0.01979152411551527
c634,1,0.49136419213147,0.5543274618113141,0.2089905099925005
c242,1,0.4710440775814144,0.5485135129748928,3.593132958372357e-06
c133,1,0.489138006120852,0.5518363454006227,0.052338134735843055
c622,1,0.4918187132808962,0.5503649447507806,0.08240969475998192
c235,1,0.4799300280958072,0.5489595139348602,0.00022471971932634148
c143,1,0.4794670756129794,0.5490878885049522,0.00017931389022980148
c106,1,0.47775910903966673,0.5511208188533259,0.00019451555089053797
c820,1,0.48671169895131505,0.5513585807630231,0.014981082298934164
c296,2,0.4740644964182496,0.5496215508999487,1.2329136222851282e-05
c846,2,0.4742229316368925,0.5485261901211529,7.445425297280952e-06
c181,2,0.49055292381966525,0.5530167336450293,0.06365339505673402
c340,2,0.4674098844507365,0.5481593208197865,2.2537002826253107e-07
c831,2,0.4802055873602729,0.547451865111491,8.682838745157778e-05
c333,2,0.48982604965984655,0.5522070779454078,0.027712505934746674
c43,2,0.4732218196110442,0.5470446424530424,2.0326367230794963e-06
c379,2,0.4703659276153229,0.548286790817153,1.1151083745238026e-06
c545,2,0.45335541209968794,0.5447949927983895,3.087594774176695e-10
c224,2,0.48451016557043375,0.5485154645425041,0.0006517854474061988
c522,2,0.4879322386498074,0.5537507667432587,0.03392197676333531
c909,2,0.47373663670048893,0.5502100310266165,1.3001081058661387e-05
c101,2,0.47733560645277384,0.5504051113601485,5.239496633573483e-05
c71,2,0.47960523183998927,0.5479476233608477,0.00010376032741121219
c896,2,0.4871475874201446,0.5566091690566362,0.028530076832405236
c256,2,0.4917748841986406,0.5614871668685548,1.8757280956363185
c424,2,0.480817302981324,0.5503818955676529,0.00016820455293086142
c370,2,0.491519134886237,0.555694838284827,0.22612175698178394
c917,2,0.48414143003169663,0.551543130429154,0.0012206314526094493
c431,2,0.4920305511566565,0.5565463249041491,1.2319526042920517
c251,2,0.47320991387231515,0.5475764546494932,5.190971735737701e-06
c365,2,0.4925015611715652,0.5525411877626262,0.23165845764171605
c244,2,0.46435592417701915,0.5421590254438063,7.14596536727669e-09
c83,2,0.46296515835458957,0.5443361233679642,1.4472608968376203e-08
c188,2,0.4811736049498833,0.5519244640753683,0.00045440871080841165
c971,2,0.4752926835369428,0.5485247178142246,4.388525468680024e-05
c893,2,0.46193108237771713,0.5462918648015465,2.11469525185839e-08
