Community,Species,Status,CUE,C_final
1,Sp1,Extinction,0.1612859458689794,6.371156919102672e-06
1,Sp2,Survival,0.21922057833550557,0.557666554185267
1,Sp3,Survival,0.22478594377183891,0.9436951415096624
1,Sp4,Survival,0.20774483549932515,0.061644992039180536
1,Sp5,Survival,0.28852706709164927,27.671277457091666
1,Sp6,Survival,0.25345977718311824,2.5225167821938275
1,Sp7,Survival,0.19980791585299562,0.004895862623095954
1,Sp8,Survival,0.16156216055316033,2.2044287863613227e-05
1,Sp9,Extinction,0.04222714421177484,1.0877064433654219e-11
1,Sp10,Extinction,0.04808877592976711,4.3873434697754e-12
1,Sp11,Survival,0.21894543759637827,0.3187684817242005
1,Sp12,Survival,0.24700962405379442,16.540486358320322
1,Sp13,Survival,0.1785123754714029,0.009027866787110508
1,Sp14,Survival,0.19253637510986324,0.0012928683978089288
1,Sp15,Survival,0.15847989357532724,4.360831661850701e-05
1,Sp16,Survival,0.16324552317330876,5.749105528610664e-05
1,Sp17,Survival,0.1890326309223531,0.05041970063388064
1,Sp18,Extinction,0.14125733292652956,2.550372118756951e-07
1,Sp19,Survival,0.18719043374016853,0.0010682078492127397
1,Sp20,Extinction,0.10246912227279895,1.358048961901024e-09
1,Sp21,Survival,0.21931551981661257,0.09116602641706836
1,Sp22,Extinction,0.16705031633465695,9.163565702433834e-06
1,Sp23,Extinction,-0.012474684231067372,7.21341541704486e-15
1,Sp24,Survival,0.1451717359421661,3.477730674652322e-05
1,Sp25,Extinction,0.1441532370380425,4.77250041457277e-06
1,Sp26,Extinction,-0.03599947058787552,5.592976697581533e-15
1,Sp27,Survival,0.14936722427739832,1.0581243730252271e-05
1,Sp28,Extinction,-0.01653934665150034,1.1640441590395663e-14
1,Sp29,Survival,0.20435890367288442,0.02828149272906998
1,Sp30,Survival,0.18350994540364027,0.0013932939276246933
1,Sp31,Extinction,0.11017581103327674,1.0089048433095747e-06
1,Sp32,Extinction,0.043863629157957267,7.0586240072930406e-12
1,Sp33,Extinction,0.0974317742848184,4.280226158805907e-07
1,Sp34,Extinction,0.09766961039618523,2.341289229697939e-10
1,Sp35,Survival,0.21720762831940496,1.0679831365463262
1,Sp36,Extinction,0.15175232012075107,1.9568942122395172e-07
1,Sp37,Survival,0.1903095909858499,0.002109974915757727
1,Sp38,Survival,0.17999516886618563,0.003061833474521741
1,Sp39,Survival,0.1794098862555786,0.004422775385434266
1,Sp40,Extinction,0.12990101780457136,2.0608007837623154e-07
1,Sp41,Extinction,0.057020363015768634,2.4193474055898967e-09
1,Sp42,Extinction,0.08090440253856332,2.5907210390836787e-10
1,Sp43,Survival,0.21994966781691316,0.008518417543434569
1,Sp44,Survival,0.18330014540072587,0.002202399841017812
1,Sp45,Extinction,0.05421927821591191,1.8491004004646768e-11
1,Sp46,Extinction,0.08089461297413568,3.2116619452507746e-11
1,Sp47,Survival,0.20880948102242383,0.22108753800371045
1,Sp48,Survival,0.1922650497330171,0.019924725369241576
1,Sp49,Extinction,0.11425554989824396,8.718078789809291e-09
1,Sp50,Extinction,0.15283351161443226,4.635967368487755e-06
1,Sp51,Survival,0.1653134291124173,0.00027699692836058746
1,Sp52,Extinction,0.001751476109324503,1.5123322428947305e-14
1,Sp53,Extinction,0.16523949528958518,8.397262609832559e-06
1,Sp54,Extinction,0.06388641343029709,3.6444940012381196e-10
1,Sp55,Extinction,0.12788115108184306,1.016017210860465e-07
1,Sp56,Survival,0.18534293354886966,1.5035719369593044e-05
1,Sp57,Extinction,0.12903007840802858,9.11122850732735e-07
1,Sp58,Extinction,0.10441824853231467,3.866593265856255e-08
1,Sp59,Survival,0.12889473544022687,1.3194478236463347e-05
1,Sp60,Survival,0.29015729667148626,39.087539084214
1,Sp61,Extinction,0.1119340542899597,8.263730971883645e-07
1,Sp62,Survival,0.1926059158391551,0.017859143572145745
1,Sp63,Extinction,0.14939170964862206,3.7040914223482507e-07
1,Sp64,Extinction,0.11753506605412016,2.8273243281373243e-08
1,Sp65,Extinction,0.14184675686186984,8.934088235091594e-08
1,Sp66,Survival,0.1852613492461369,0.0002571720666755752
1,Sp67,Extinction,0.1142559354806618,1.3552690266132214e-08
1,Sp68,Extinction,0.08430173864661562,1.1801516941580332e-09
1,Sp69,Survival,0.17678861065354531,1.58562763020151e-05
1,Sp70,Extinction,0.1413419163502879,1.65547354303032e-06
1,Sp71,Survival,0.17913149206072468,0.0016385447419161965
1,Sp72,Survival,0.16277297322557432,0.0009342568607685344
1,Sp73,Extinction,0.13325946953617782,9.867483681820345e-06
1,Sp74,Extinction,0.13900931992812787,1.9232145446769977e-07
1,Sp75,Survival,0.2562356422395451,10.703598152766542
1,Sp76,Survival,0.1764585569098015,0.00025199156862963705
1,Sp77,Extinction,0.13605910050356207,1.362123005720317e-06
1,Sp78,Survival,0.20473197933361306,0.05739595510554954
1,Sp79,Survival,0.21040280623107724,0.07083078212288889
1,Sp80,Extinction,0.14424177003438177,1.0984707657198352e-06
1,Sp81,Extinction,0.12882086559308156,2.110516379541615e-06
1,Sp82,Extinction,0.08797207150649683,1.8749703243027536e-10
1,Sp83,Survival,0.13476107852678681,1.2408432234304608e-05
1,Sp84,Extinction,0.10519356023035835,3.6128541063716515e-09
1,Sp85,Extinction,0.13691653263386513,1.2859019969577572e-06
1,Sp86,Extinction,0.10147756882469655,7.104374627328417e-08
1,Sp87,Extinction,0.15383043377559052,9.603012904515877e-07
1,Sp88,Extinction,0.055249411317263415,2.7485214753950948e-12
1,Sp89,Survival,0.1661896600016058,1.3633265345078593e-05
1,Sp90,Extinction,0.04336616519232888,3.2640070360640024e-10
1,Sp91,Extinction,0.10976518005526224,9.208426636911727e-08
1,Sp92,Survival,0.2149220038167306,1.052600173732063
1,Sp93,Extinction,0.0989566514955965,2.62360195085671e-08
1,Sp94,Survival,0.16706175116211078,0.0009385483757720878
1,Sp95,Extinction,0.14734278541048554,5.9079105770046675e-06
1,Sp96,Extinction,0.14038561419006368,3.618454609759208e-06
1,Sp97,Survival,0.2557167645730393,5.981230657112162
1,Sp98,Survival,0.1556407948424342,6.989536202208158e-05
1,Sp99,Survival,0.23706055622627434,0.33349912590314545
1,Sp100,Extinction,0.14087196228389684,1.2823683781279535e-06
2,Sp1,Extinction,0.025213180799061527,4.4446934085160785e-12
2,Sp2,Extinction,0.07253329585076519,5.27128418782788e-09
2,Sp3,Survival,0.278717726444638,38.125988384302076
2,Sp4,Extinction,0.1130126594347779,9.499606445011094e-07
2,Sp5,Extinction,0.09902094926315766,1.1034481705796934e-07
2,Sp6,Extinction,0.11758800712654774,1.4502150568710894e-07
2,Sp7,Survival,0.16855703526112026,0.001046738633892203
2,Sp8,Extinction,0.13054260631191855,2.745593788301724e-06
2,Sp9,Survival,0.18246830524811813,0.009891815683353334
2,Sp10,Extinction,0.12655807423959103,5.1691794313246584e-06
2,Sp11,Extinction,0.13747219359751384,3.446448365253412e-06
2,Sp12,Survival,0.1960761896022986,0.26787229403551743
2,Sp13,Survival,0.14769567571427913,0.00015239454007180643
2,Sp14,Survival,0.1619399428282341,0.0001800068999318454
