"Seed","Community","SpeciesCount"
50,1,28
50,2,48
50,3,26
51,1,24
51,2,20
51,3,13
52,1,27
52,2,10
52,3,11
53,1,19
53,2,14
53,3,21
54,1,17
54,2,24
54,3,18
55,1,19
55,2,31
55,3,24
56,1,13
56,2,25
56,3,15
57,1,24
57,2,21
57,3,16
58,1,24
58,2,21
58,3,13
59,1,57
59,2,11
59,3,25
60,1,22
60,2,23
60,3,26
61,1,9
61,2,18
61,3,16
62,1,20
62,2,21
62,3,22
63,1,25
63,2,19
63,3,18
64,1,27
64,2,13
64,3,15
65,1,40
65,2,25
65,3,13
66,1,14
66,2,16
66,3,14
67,1,17
67,2,15
67,3,16
68,1,26
68,2,24
68,3,19
69,1,12
69,2,30
69,3,12
70,1,25
70,2,19
70,3,16
71,1,12
71,2,19
71,3,14
72,1,24
72,2,20
72,3,15
73,1,18
73,2,23
73,3,11
74,1,28
74,2,21
74,3,21
75,1,18
75,2,24
75,3,16
76,1,24
76,2,20
76,3,21
77,1,15
77,2,41
77,3,17
78,1,18
78,2,27
78,3,28
79,1,27
79,2,16
79,3,20
80,1,28
80,2,16
80,3,18
81,1,21
81,2,17
81,3,26
82,1,18
82,2,18
82,3,21
83,1,15
83,2,27
83,3,21
84,1,26
84,2,17
84,3,24
85,1,18
85,2,26
85,3,21
86,1,24
86,2,15
86,3,17
87,1,22
87,2,15
87,3,20
88,1,13
88,2,18
88,3,14
89,1,14
89,2,10
89,3,15
90,1,40
90,2,19
90,3,14
91,1,8
91,2,14
91,3,12
92,1,15
92,2,27
92,3,16
93,1,23
93,2,14
93,3,11
94,1,16
94,2,23
94,3,23
95,1,13
95,2,25
95,3,20
96,1,11
96,2,22
96,3,13
97,1,18
97,2,16
97,3,21
98,1,28
98,2,25
98,3,33
99,1,19
99,2,23
99,3,19
