"Seed","Community","SpeciesCount"
50,1,28
50,2,25
50,3,27
51,1,24
51,2,15
51,3,15
52,1,14
52,2,10
52,3,11
53,1,21
53,2,17
53,3,21
54,1,20
54,2,23
54,3,18
55,1,20
55,2,31
55,3,27
56,1,15
56,2,25
56,3,16
57,1,24
57,2,22
57,3,17
58,1,24
58,2,15
58,3,13
59,1,29
59,2,12
59,3,23
60,1,22
60,2,24
60,3,26
61,1,11
61,2,20
61,3,16
62,1,21
62,2,20
62,3,22
63,1,24
63,2,14
63,3,19
64,1,27
64,2,15
64,3,15
65,1,30
65,2,26
65,3,14
66,1,15
66,2,17
66,3,14
67,1,17
67,2,16
67,3,16
68,1,23
68,2,26
68,3,21
69,1,12
69,2,18
69,3,12
70,1,23
70,2,25
70,3,15
71,1,15
71,2,20
71,3,14
72,1,20
72,2,20
72,3,14
73,1,14
73,2,23
73,3,10
74,1,25
74,2,25
74,3,20
75,1,10
75,2,20
75,3,15
76,1,26
76,2,20
76,3,21
77,1,17
77,2,21
77,3,17
78,1,23
78,2,28
78,3,28
79,1,24
79,2,17
79,3,20
80,1,19
80,2,16
80,3,18
81,1,24
81,2,20
81,3,25
82,1,18
82,2,20
82,3,18
83,1,16
83,2,30
83,3,17
84,1,28
84,2,17
84,3,24
85,1,16
85,2,26
85,3,24
86,1,25
86,2,17
86,3,18
87,1,22
87,2,18
87,3,20
88,1,13
88,2,19
88,3,13
89,1,14
89,2,11
89,3,15
90,1,18
90,2,19
90,3,16
91,1,8
91,2,15
91,3,12
92,1,15
92,2,28
92,3,16
93,1,20
93,2,15
93,3,13
94,1,19
94,2,25
94,3,23
95,1,13
95,2,27
95,3,18
96,1,13
96,2,21
96,3,13
97,1,18
97,2,18
97,3,21
98,1,29
98,2,26
98,3,31
99,1,21
99,2,20
99,3,20
