N_modules,Richness1,Richness2,Richness3,C_feed1,C_feed2,C_feed3,CUE1,CUE2,CUE3,Niche_overlap1,Niche_overlap2,Niche_overlap3
1,10,10,9,0.8606323904888843,0.8635773621458289,0.862095526778379,0.27551593554452636,0.2522351595381327,0.2759555145277982,0.7475762349332108,0.7518413711879816,0.7495552677328602
2,11,16,15,0.8070208195573428,0.8057980397741173,0.8064928934635921,0.23598958761450473,0.22171358714085745,0.23604435431578927,0.6811030644318097,0.6781643836400227,0.6802185582480686
3,20,11,17,0.8074161147563566,0.8048123794272098,0.8061789169686622,0.25800292366413025,0.26133855159984665,0.26632602641679004,0.6711173661498574,0.669440774853022,0.6706703525218863
4,14,13,15,0.8105348729036816,0.8155642969885432,0.8130377925826114,0.24171513008020137,0.2704492658051387,0.2691299759618954,0.6740424906619688,0.6771045505398733,0.6752967863103897
5,7,9,8,0.8145312566800506,0.8080343365648859,0.8113596036300021,0.27938074393325013,0.2716133808901655,0.2836100701990031,0.676312680392061,0.6675805133916962,0.6726735714379077
6,11,7,10,0.8246113192292667,0.8181873469876132,0.8213895585333406,0.27519695190104276,0.31362269772098716,0.3123285353807909,0.6902366074738142,0.6812046279715713,0.6861235243131715
7,11,11,13,0.8261377477114712,0.8233532697573724,0.8247638228246957,0.2972265265259523,0.26415321062288816,0.2969771973696459,0.6929115343630656,0.6876812067951475,0.6904895691657601
8,14,13,16,0.8263072910897205,0.8287899403622212,0.8274778242436123,0.26143352853504853,0.2389490108360165,0.2594409064996754,0.6934859464796259,0.6963376795408343,0.694461393638851
9,15,10,19,0.8347201897170098,0.828418927898927,0.8316376774124669,0.2549464426681166,0.24906707848780874,0.25679621826657717,0.7056995402798877,0.6956300749158213,0.7010024095505644
10,8,9,10,0.8355197783823378,0.8313831500891553,0.8335213224624084,0.27064316222927903,0.259880471749027,0.2737563697187803,0.7070639650878586,0.7012967716849606,0.7040438088422375
11,11,13,13,0.8369400831510331,0.8378416401312595,0.8374030047818636,0.2389078653729082,0.25121563240693456,0.25162807974500095,0.7100645145985293,0.7111667929289104,0.7107775526109916
12,18,16,22,0.8359137125929811,0.8370444199217983,0.8364926140806632,0.22752259023783517,0.2554805552313228,0.25803337259569703,0.7095047765078725,0.7103124518294405,0.7099314196957729
13,10,7,9,0.8342431810140689,0.8399504426779966,0.8371540527572676,0.2632791583410857,0.29865666827102927,0.2995986097865005,0.7050441837740133,0.7158983328038411,0.7102602424119966
14,10,10,12,0.8403397895471022,0.8405729694688094,0.8404656828734659,0.2724792537625929,0.26888070703168565,0.2835121055229034,0.7157644784793042,0.7157935501913003,0.71580417186075
15,17,6,6,0.8410932227566346,0.8448893922470816,0.8429808585774463,0.2260401218262424,0.2769761629165177,0.2769714082480426,0.715257128436186,0.7217021605495106,0.718929902584395
16,6,13,7,0.842651461060377,0.8414778849365612,0.8420247818858081,0.29248562971964437,0.23965412527067542,0.29103627242454,0.717637443079715,0.7178152930644883,0.7179477999908466
17,16,15,22,0.8433377533585963,0.8437966790812595,0.843477111101268,0.23270109311146525,0.25373043165398873,0.2520931509381171,0.7183264334407296,0.7205200928997668,0.7195431695480901
18,14,10,14,0.8434764161420101,0.8413199004959705,0.8424271560036621,0.2646189564127286,0.2550182144138863,0.2667880436684809,0.7196464649870329,0.7145802329127042,0.7177628821952166
19,13,12,8,0.8454880288905267,0.849235210217193,0.8473869322093075,0.2594967384580994,0.2685414750213817,0.2739350671630683,0.7236895254294501,0.7277859576418657,0.7259970993357114
20,11,11,14,0.8467093378152001,0.850266493874859,0.8484496247730695,0.2507567487577149,0.24305323501764778,0.25429616544990963,0.7249896445721234,0.7303032503722668,0.7276457349284641
21,11,15,14,0.8417347252914104,0.8442798940691161,0.8430134251695971,0.2518325012540817,0.24341470794375164,0.2551743605778432,0.7163447651194857,0.720480737234691,0.7186131455388629
22,9,9,15,0.8498874192018929,0.8488610643898934,0.8493774144146661,0.2764320708677852,0.2694475130661307,0.2792107914942474,0.7320876131911791,0.7287908848969242,0.7306294145068033
23,11,13,16,0.8478465841719937,0.8459091704329633,0.8467719339965993,0.25291534412410444,0.24199366285001442,0.255176182894903,0.727821442406471,0.7224741331313973,0.724840199280791
24,9,8,12,0.84486416289777,0.8441802952148356,0.8444890894943755,0.25735902549057077,0.29009464956606007,0.2921528405841242,0.7208256393675675,0.7220158576855267,0.7209862902456138
25,11,17,17,0.8487093078186018,0.846364480333003,0.8475748812026546,0.25879127886840214,0.2514911957252723,0.2621291266770526,0.7292839374488286,0.7243537291625222,0.726910922193919
