N_modules,n_surv1,n_surv2,n_surv3
1,9,10,10
2,9,10,12
3,11,15,14
4,11,19,14
5,12,17,14
6,14,14,13
7,13,12,16
8,18,17,18
9,16,14,16
10,18,17,22
11,19,19,20
12,21,17,16
13,20,18,21
14,16,17,18
15,21,16,19
16,17,18,22
17,19,20,19
18,17,23,21
19,22,20,17
20,23,20,23
21,22,20,24
22,18,19,19
23,20,22,23
24,17,19,19
25,22,17,23
26,22,24,25
27,24,26,22
28,25,16,21
29,21,24,26
30,23,22,21
31,26,23,26
32,20,16,23
33,20,20,24
34,16,26,16
35,16,19,22
36,16,22,20
37,23,21,21
38,17,22,21
39,20,26,24
40,20,19,21
41,17,19,20
42,23,22,28
43,21,19,25
44,22,21,25
45,19,23,23
46,22,18,24
47,22,19,25
48,23,27,26
49,21,22,23
50,24,24,34
