Community,Seed,R2
Comm1,51,0.7758238107806188
Comm1,52,0.47397781989603194
Comm1,53,0.9030765728891015
Comm1,55,0.6092326462489916
Comm1,56,0.7431797423060102
Comm1,58,0.4510011437824193
Comm1,59,0.8416405938712526
Comm1,61,0.5942361446387043
Comm1,63,0.4544313496000253
Comm1,64,0.80462660638086
Comm1,65,0.5340150940376893
Comm1,66,0.7290999123541624
Comm1,68,0.6379969102860212
Comm1,69,0.771397193885198
Comm1,70,0.6419595331189983
Comm1,71,0.7387252085051271
Comm1,72,0.726648589161775
Comm1,73,0.5791395795928471
Comm1,74,0.8805661771385147
Comm1,75,0.8505824960334575
Comm1,76,0.7508132570599068
Comm1,78,0.7282512714275637
Comm1,79,0.7659112987075749
Comm1,80,0.7493776347466153
Comm1,81,0.8465903374807973
Comm1,82,0.739267760256133
Comm1,83,0.2713914298808301
Comm1,84,0.8526285435130252
Comm1,85,0.8031003691713211
Comm1,86,0.6527882368563522
Comm1,87,0.7951241423642595
Comm1,88,0.723382749547969
Comm1,89,0.47824980621050006
Comm1,90,0.6406816262150422
Comm1,91,0.7679819148151389
Comm1,92,0.7230243497353592
Comm1,93,0.5341937747055141
Comm1,94,0.8611483252374587
Comm1,95,0.41748138258806056
Comm1,96,0.5673714573838154
Comm1,97,0.6967617555715602
Comm1,98,0.8349461808462174
Comm2,51,0.7275603125459204
Comm2,52,0.6957192202148542
Comm2,53,0.7206422302655309
Comm2,55,0.638807277909955
Comm2,56,0.8603456519830398
Comm2,57,0.7518687539419623
Comm2,58,0.680212071997151
Comm2,59,0.7972871508519774
Comm2,60,0.751666593378346
Comm2,61,0.8563253750906489
Comm2,63,0.6978868778221963
Comm2,64,0.5594132913205772
Comm2,65,0.473224300216483
Comm2,66,0.6608373853270129
Comm2,67,0.7934553797043088
Comm2,69,0.5116184105763253
Comm2,70,0.6237960203673211
Comm2,71,0.7561021046025896
Comm2,73,0.5907026925564581
Comm2,74,0.7241482072065389
Comm2,75,0.35896521376720525
Comm2,76,0.5424339905471436
Comm2,77,0.6355886635850025
Comm2,78,0.7984733539431811
Comm2,79,0.8464071486622569
Comm2,80,0.7175558157755169
Comm2,81,0.774449182540501
Comm2,82,0.7549681033858691
Comm2,83,0.5579346404158696
Comm2,84,0.7436416046153578
Comm2,85,0.769861038809385
Comm2,86,0.7600319515053071
Comm2,87,0.7787531990541918
Comm2,89,0.8885279527784656
Comm2,90,0.8014138171618185
Comm2,92,0.776191496396933
Comm2,93,0.7386930603525128
Comm2,94,0.7996617811883066
Comm2,95,0.8220591956882706
Comm2,96,0.6304169934766793
Comm2,97,0.6467553495740492
Comm2,98,0.7985631881602862
Comm2,99,0.7916218098198298
Comm3,51,0.8637334274372958
Comm3,52,0.8512708422935535
Comm3,53,0.9263666715153518
Comm3,54,0.8554585897089648
Comm3,55,0.8252662874290162
Comm3,56,0.8625001921146785
Comm3,57,0.9116828464910194
Comm3,58,0.7561486618143927
Comm3,59,0.9014541454776902
Comm3,60,0.9020565027240621
Comm3,61,0.8694857376306453
Comm3,62,0.8752924947886713
Comm3,63,0.7905096074640751
Comm3,64,0.8212953325930152
Comm3,65,0.795889108659467
Comm3,66,0.8987956004798733
Comm3,67,0.8865179983406909
Comm3,68,0.6771510348696118
Comm3,69,0.8964688577438717
Comm3,70,0.9177417726247891
Comm3,71,0.8281696458980242
Comm3,72,0.8634716145726384
Comm3,73,0.8295420961200979
Comm3,74,0.8354380742687815
Comm3,75,0.9264107592831912
Comm3,76,0.8763933447468739
Comm3,77,0.839870729593151
Comm3,78,0.9009914927710723
Comm3,79,0.8852932039350255
Comm3,80,0.8646453412368609
Comm3,81,0.8893434348627836
Comm3,82,0.801017386965395
Comm3,83,0.7992563827897203
Comm3,84,0.8897245694000946
Comm3,85,0.8603953489073622
Comm3,86,0.890539340804063
Comm3,87,0.8884409176088844
Comm3,88,0.8222923424687248
Comm3,89,0.7579944020387117
Comm3,90,0.8530184394689414
Comm3,91,0.9182979973528159
Comm3,92,0.8687973889384797
Comm3,93,0.8832105625564625
Comm3,94,0.9383911196356928
Comm3,95,0.7919016697639027
Comm3,96,0.8900899532428811
Comm3,97,0.8324132374058031
Comm3,98,0.9231515340941533
Comm3,99,0.935211925853332
